index,slack,datapath_delay,logic_levels,startpoint,endpoint
1,-0.904,2.887,6,bf_cycle_reg[3]/C,signal_reg_reg[110][21]/D
2,-0.884,2.867,6,bf_cycle_reg[3]/C,signal_reg_reg[121][17]/D
3,-0.878,2.860,5,bf_cycle_reg[3]/C,signal_reg_reg[63][21]/D
4,-0.853,2.835,6,bf_cycle_reg[3]/C,signal_reg_reg[98][21]/D
5,-0.850,2.833,6,bf_cycle_reg[3]/C,signal_reg_reg[4][17]/D
6,-0.847,2.828,6,bf_cycle_reg[3]/C,signal_reg_reg[9][17]/D
7,-0.846,2.827,5,vector_buf_b_reg[46][2]/C,operand_x_reg_reg[28][2]/D
8,-0.839,2.819,5,vector_buf_a_reg[21][10]/C,operand_x_reg_reg[75][10]/D
9,-0.837,2.819,6,bf_cycle_reg[3]/C,signal_reg_reg[50][17]/D
10,-0.836,2.818,6,bf_cycle_reg[3]/C,signal_reg_reg[122][21]/D
11,-0.824,2.806,6,bf_cycle_reg[3]/C,signal_reg_reg[69][14]/D
12,-0.812,2.795,6,bf_cycle_reg[3]/C,signal_reg_reg[115][18]/D
13,-0.810,2.792,5,vector_buf_b_reg[30][9]/C,operand_x_reg_reg[122][9]/D
14,-0.810,2.789,4,vector_buf_a_reg[28][12]/C,operand_x_reg_reg[76][12]/D
15,-0.810,2.791,4,vector_buf_a_reg[40][6]/C,operand_x_reg_reg[76][6]/D
16,-0.808,2.791,6,bf_cycle_reg[3]/C,signal_reg_reg[87][10]/D
17,-0.808,2.789,4,vector_buf_a_reg[58][7]/C,operand_x_reg_reg[76][7]/D
18,-0.802,2.784,6,bf_cycle_reg[3]/C,signal_reg_reg[73][17]/D
19,-0.801,2.783,6,bf_cycle_reg[3]/C,signal_reg_reg[73][19]/D
20,-0.800,2.783,6,bf_cycle_reg[3]/C,signal_reg_reg[95][15]/D
21,-0.799,2.780,6,bf_cycle_reg[3]/C,signal_reg_reg[119][13]/D
22,-0.799,2.781,6,bf_cycle_reg[3]/C,signal_reg_reg[115][13]/D
23,-0.798,2.781,6,bf_cycle_reg[3]/C,signal_reg_reg[114][21]/D
24,-0.797,2.780,5,bf_cycle_reg[3]/C,signal_reg_reg[109][13]/D
25,-0.793,2.774,6,bf_cycle_reg[3]/C,signal_reg_reg[122][18]/D
26,-0.783,2.766,6,bf_cycle_reg[3]/C,signal_reg_reg[87][13]/D
27,-0.782,2.763,5,vector_buf_a_reg[55][12]/C,operand_x_reg_reg[3][12]/D
28,-0.781,2.761,5,vector_buf_b_reg[35][0]/C,operand_x_reg_reg[28][0]/D
29,-0.781,2.763,5,bf_cycle_reg[3]/C,signal_reg_reg[53][21]/D
30,-0.779,2.760,7,operand_x_reg_reg[81][15]/C,lane_product_reg_reg[81][38]/D
31,-0.778,2.761,6,bf_cycle_reg[3]/C,signal_reg_reg[79][15]/D
32,-0.778,2.757,5,vector_buf_a_reg[39][3]/C,operand_x_reg_reg[117][3]/D
33,-0.777,2.760,6,bf_cycle_reg[3]/C,signal_reg_reg[79][10]/D
34,-0.777,2.757,4,vector_buf_a_reg[21][10]/C,operand_x_reg_reg[15][10]/D
35,-0.776,2.758,7,operand_x_reg_reg[96][10]/C,lane_product_reg_reg[96][35]/D
36,-0.775,2.758,6,bf_cycle_reg[3]/C,signal_reg_reg[111][12]/D
37,-0.771,2.751,5,vector_buf_a_reg[41][7]/C,operand_x_reg_reg[44][7]/D
38,-0.771,2.751,4,vector_buf_b_reg[36][5]/C,operand_x_reg_reg[76][5]/D
39,-0.770,2.749,4,vector_buf_a_reg[28][12]/C,operand_x_reg_reg[52][12]/D
40,-0.768,2.750,6,bf_cycle_reg[3]/C,signal_reg_reg[109][17]/D
41,-0.767,2.748,5,vector_buf_b_reg[2][11]/C,operand_x_reg_reg[95][11]/D
42,-0.766,2.748,6,bf_cycle_reg[3]/C,signal_reg_reg[123][19]/D
43,-0.764,2.746,4,vector_buf_b_reg[51][14]/C,operand_x_reg_reg[123][14]/D
44,-0.763,2.743,5,vector_buf_a_reg[59][2]/C,operand_x_reg_reg[117][2]/D
45,-0.762,2.743,7,operand_x_reg_reg[86][15]/C,lane_product_reg_reg[86][21]/D
46,-0.762,2.744,7,operand_x_reg_reg[49][1]/C,lane_product_reg_reg[49][22]/D
47,-0.762,2.744,5,vector_buf_a_reg[62][15]/C,operand_x_reg_reg[78][15]/D
48,-0.761,2.743,5,vector_buf_a_reg[33][15]/C,operand_x_reg_reg[123][15]/D
49,-0.761,2.743,5,vector_buf_a_reg[58][9]/C,operand_x_reg_reg[69][9]/D
50,-0.761,2.741,4,sched_src_reg_reg[29][5]_rep__3/C,operand_x_reg_reg[83][4]/D
51,-0.761,2.743,7,operand_x_reg_reg[47][15]/C,lane_product_reg_reg[47][15]/D
52,-0.760,2.742,5,vector_buf_a_reg[21][11]/C,operand_x_reg_reg[71][11]/D
53,-0.759,2.739,4,vector_buf_b_reg[16][5]/C,operand_x_reg_reg[124][5]/D
54,-0.759,2.739,5,vector_buf_a_reg[34][5]/C,operand_x_reg_reg[82][5]/D
55,-0.758,2.741,6,bf_cycle_reg[3]/C,signal_reg_reg[109][18]/D
56,-0.758,2.739,5,vector_buf_a_reg[40][0]/C,operand_x_reg_reg[17][0]/D
57,-0.758,2.741,6,bf_cycle_reg[3]/C,signal_reg_reg[123][15]/D
58,-0.757,2.738,4,vector_buf_a_reg[11][1]/C,operand_x_reg_reg[76][1]/D
59,-0.755,2.735,6,bf_cycle_reg[0]/C,signal_reg_reg[116][21]/D
60,-0.754,2.735,4,vector_buf_b_reg[17][11]/C,operand_x_reg_reg[123][11]/D
61,-0.754,2.737,6,bf_cycle_reg[3]/C,signal_reg_reg[79][19]/D
62,-0.753,2.733,5,vector_buf_a_reg[3][6]/C,operand_x_reg_reg[50][6]/D
63,-0.753,2.733,4,sched_src_reg_reg[16][1]_rep__15/C,operand_x_reg_reg[38][1]/D
64,-0.753,2.733,7,operand_x_reg_reg[100][15]/C,lane_product_reg_reg[100][22]/D
65,-0.752,2.735,6,bf_cycle_reg[3]/C,signal_reg_reg[89][20]/D
66,-0.752,2.733,4,sched_src_reg_reg[70][1]_rep__10/C,operand_x_reg_reg[108][11]/D
67,-0.751,2.732,5,vector_buf_a_reg[21][15]/C,operand_x_reg_reg[50][15]/D
68,-0.751,2.732,5,vector_buf_b_reg[4][8]/C,operand_x_reg_reg[71][8]/D
69,-0.750,2.730,5,vector_buf_b_reg[6][15]/C,operand_x_reg_reg[71][15]/D
70,-0.750,2.730,4,vector_buf_a_reg[22][8]/C,operand_x_reg_reg[76][8]/D
71,-0.749,2.729,5,vector_buf_a_reg[57][12]/C,operand_x_reg_reg[123][12]/D
72,-0.748,2.730,6,bf_cycle_reg[3]/C,signal_reg_reg[98][16]/D
73,-0.748,2.728,5,vector_buf_b_reg[18][0]/C,operand_x_reg_reg[75][0]/D
74,-0.747,2.729,6,bf_cycle_reg[3]/C,signal_reg_reg[121][19]/D
75,-0.747,2.728,7,operand_x_reg_reg[100][14]/C,lane_product_reg_reg[100][16]/D
76,-0.747,2.729,4,sched_src_reg_reg[24][1]_rep__25/C,operand_x_reg_reg[42][5]/D
