dot,stage,slot,phase,terms,src0,src1,node
0,0,0,2,2,0,1,0
1,0,1,2,2,2,3,0
2,0,2,2,2,4,5,0
3,0,3,2,2,6,7,0
4,1,0,3,4,4,5,0
5,1,1,3,4,6,7,0
6,1,2,3,4,8,9,0
7,1,3,3,4,10,11,0
8,2,0,4,8,4,5,0
9,2,1,4,8,6,7,0
10,2,2,4,8,8,9,0
11,2,3,4,8,10,11,0
12,2,4,4,8,12,13,0
13,2,5,4,8,14,15,0
14,2,6,4,8,16,17,0
15,2,7,4,8,18,19,0
16,3,0,6,16,0,1,0
17,3,1,6,16,2,3,0
18,3,2,6,16,4,5,0
19,3,3,6,16,6,7,0
20,3,4,6,16,8,9,0
21,3,5,6,16,10,11,0
22,3,6,6,16,12,13,0
23,3,7,6,16,14,15,0
24,3,0,7,16,0,1,0
25,3,1,7,16,2,3,0
26,3,2,7,16,4,5,0
27,3,3,7,16,6,7,0
28,3,4,7,16,8,9,0
29,3,5,7,16,10,11,0
30,3,6,7,16,12,13,0
31,3,7,7,16,14,15,0
32,4,0,9,32,0,1,0
33,4,1,9,32,2,3,0
34,4,2,9,32,4,5,0
35,4,3,9,32,6,7,0
36,4,0,10,32,0,1,0
37,4,1,10,32,2,3,0
38,4,2,10,32,4,5,0
39,4,3,10,32,6,7,0
40,4,0,11,32,0,1,0
41,4,1,11,32,2,3,0
42,4,2,11,32,4,5,0
43,4,3,11,32,6,7,0
44,4,0,12,32,0,1,0
45,4,1,12,32,2,3,0
46,4,2,12,32,4,5,0
47,4,3,12,32,6,7,0
48,4,0,13,32,0,1,0
49,4,1,13,32,2,3,0
50,4,2,13,32,4,5,0
51,4,3,13,32,6,7,0
52,4,0,14,32,0,1,0
53,4,1,14,32,2,3,0
54,4,2,14,32,4,5,0
55,4,3,14,32,6,7,0
56,4,0,15,32,0,1,0
57,4,1,15,32,2,3,0
58,4,2,15,32,4,5,0
59,4,3,15,32,6,7,0
60,4,0,16,32,0,1,0
61,4,1,16,32,2,3,0
62,4,2,16,32,4,5,0
63,4,3,16,32,6,7,0
