index,slack,datapath_delay,logic_levels,startpoint,endpoint
1,-0.862,2.841,7,bf_cycle_reg[5]/C,signal_reg_reg[121][21]/D
2,-0.854,2.833,7,bf_cycle_reg[5]/C,signal_reg_reg[93][21]/D
3,-0.818,2.798,7,bf_cycle_reg[5]/C,signal_reg_reg[44][20]/D
4,-0.818,2.797,2,sched_src_reg_reg[25][3]_rep__0/C,operand_x_reg_reg[82][5]/D
5,-0.811,2.792,5,vector_buf_b_reg[12][15]/C,operand_x_reg_reg[10][15]/D
6,-0.809,2.792,4,vector_buf_b_reg[14][7]/C,operand_x_reg_reg[34][7]/D
7,-0.809,2.790,5,vector_buf_a_reg[14][9]/C,operand_x_reg_reg[34][9]/D
8,-0.808,2.789,5,vector_buf_a_reg[25][9]/C,operand_x_reg_reg[38][9]/D
9,-0.807,2.787,7,bf_cycle_reg[1]/C,signal_reg_reg[59][21]/D
10,-0.805,2.786,5,vector_buf_b_reg[23][2]/C,operand_x_reg_reg[39][2]/D
11,-0.805,2.785,2,sched_src_reg_reg[25][3]_rep__0/C,operand_x_reg_reg[82][0]/D
12,-0.805,2.785,5,vector_buf_b_reg[45][1]/C,operand_x_reg_reg[36][1]/D
13,-0.802,2.783,5,vector_buf_b_reg[57][5]/C,operand_x_reg_reg[38][5]/D
14,-0.802,2.783,5,vector_buf_b_reg[28][1]/C,operand_x_reg_reg[26][1]/D
15,-0.800,2.782,4,sched_src_reg_reg[0][1]/C,operand_x_reg_reg[5][10]/D
16,-0.799,2.779,5,vector_buf_a_reg[60][15]/C,operand_x_reg_reg[38][15]/D
17,-0.798,2.779,4,vector_buf_a_reg[62][3]/C,operand_x_reg_reg[30][3]/D
18,-0.796,2.777,5,vector_buf_b_reg[7][12]/C,operand_x_reg_reg[26][12]/D
19,-0.791,2.772,5,vector_buf_a_reg[4][5]/C,operand_x_reg_reg[35][5]/D
20,-0.791,2.771,5,vector_buf_b_reg[24][6]/C,operand_x_reg_reg[39][6]/D
21,-0.791,2.771,7,bf_cycle_reg[1]/C,signal_reg_reg[75][17]/D
22,-0.789,2.769,1,issue_cycle_reg[4]_rep__2/C,sched_coeff_reg_reg[69][4]/D
23,-0.788,2.770,5,vector_buf_a_reg[2][3]/C,operand_x_reg_reg[34][3]/D
24,-0.787,2.770,5,vector_buf_b_reg[32][10]/C,operand_x_reg_reg[10][10]/D
25,-0.786,2.767,5,vector_buf_b_reg[59][11]/C,operand_x_reg_reg[91][11]/D
26,-0.786,2.766,3,sched_src_reg_reg[53][5]/C,operand_x_reg_reg[53][12]/D
27,-0.782,2.764,5,vector_buf_a_reg[22][8]/C,operand_x_reg_reg[82][8]/D
28,-0.781,2.762,5,vector_buf_b_reg[43][12]/C,operand_x_reg_reg[27][12]/D
