event_id,level,phase,slot,destination,operation,even,odd,key
0,4,3,0,0,add,"{""kind"": ""dot"", ""id"": 0}","{""kind"": ""dot"", ""id"": 1}",8384
1,4,3,1,5,add,"{""kind"": ""dot"", ""id"": 2}","{""kind"": ""dot"", ""id"": 3}",8385
2,4,3,2,10,sub,"{""kind"": ""dot"", ""id"": 2}","{""kind"": ""dot"", ""id"": 3}",8386
3,4,3,3,15,sub,"{""kind"": ""dot"", ""id"": 0}","{""kind"": ""dot"", ""id"": 1}",8387
4,8,4,0,1,add,"{""kind"": ""signal"", ""id"": 0}","{""kind"": ""dot"", ""id"": 4}",16640
5,8,4,1,6,add,"{""kind"": ""signal"", ""id"": 5}","{""kind"": ""dot"", ""id"": 5}",16641
6,8,4,2,11,add,"{""kind"": ""signal"", ""id"": 10}","{""kind"": ""dot"", ""id"": 6}",16642
7,8,4,3,16,add,"{""kind"": ""signal"", ""id"": 15}","{""kind"": ""dot"", ""id"": 7}",16643
8,8,4,4,20,sub,"{""kind"": ""signal"", ""id"": 15}","{""kind"": ""dot"", ""id"": 7}",16644
9,8,4,5,24,sub,"{""kind"": ""signal"", ""id"": 10}","{""kind"": ""dot"", ""id"": 6}",16645
10,8,4,6,28,sub,"{""kind"": ""signal"", ""id"": 5}","{""kind"": ""dot"", ""id"": 5}",16646
11,8,4,7,32,sub,"{""kind"": ""signal"", ""id"": 0}","{""kind"": ""dot"", ""id"": 4}",16647
12,16,5,0,2,add,"{""kind"": ""signal"", ""id"": 1}","{""kind"": ""dot"", ""id"": 8}",33088
13,16,5,1,7,add,"{""kind"": ""signal"", ""id"": 6}","{""kind"": ""dot"", ""id"": 9}",33089
14,16,5,2,12,add,"{""kind"": ""signal"", ""id"": 11}","{""kind"": ""dot"", ""id"": 10}",33090
15,16,5,3,17,add,"{""kind"": ""signal"", ""id"": 16}","{""kind"": ""dot"", ""id"": 11}",33091
16,16,5,4,21,add,"{""kind"": ""signal"", ""id"": 20}","{""kind"": ""dot"", ""id"": 12}",33092
17,16,5,5,25,add,"{""kind"": ""signal"", ""id"": 24}","{""kind"": ""dot"", ""id"": 13}",33093
18,16,5,6,29,add,"{""kind"": ""signal"", ""id"": 28}","{""kind"": ""dot"", ""id"": 14}",33094
19,16,5,7,33,add,"{""kind"": ""signal"", ""id"": 32}","{""kind"": ""dot"", ""id"": 15}",33095
20,16,5,8,36,sub,"{""kind"": ""signal"", ""id"": 32}","{""kind"": ""dot"", ""id"": 15}",33096
21,16,5,9,39,sub,"{""kind"": ""signal"", ""id"": 28}","{""kind"": ""dot"", ""id"": 14}",33097
22,16,5,10,42,sub,"{""kind"": ""signal"", ""id"": 24}","{""kind"": ""dot"", ""id"": 13}",33098
23,16,5,11,45,sub,"{""kind"": ""signal"", ""id"": 20}","{""kind"": ""dot"", ""id"": 12}",33099
24,16,5,12,48,sub,"{""kind"": ""signal"", ""id"": 16}","{""kind"": ""dot"", ""id"": 11}",33100
25,16,5,13,51,sub,"{""kind"": ""signal"", ""id"": 11}","{""kind"": ""dot"", ""id"": 10}",33101
26,16,5,14,54,sub,"{""kind"": ""signal"", ""id"": 6}","{""kind"": ""dot"", ""id"": 9}",33102
27,16,5,15,57,sub,"{""kind"": ""signal"", ""id"": 1}","{""kind"": ""dot"", ""id"": 8}",33103
28,32,7,0,3,add,"{""kind"": ""signal"", ""id"": 2}","{""kind"": ""dot"", ""id"": 16}",65984
29,32,7,1,8,add,"{""kind"": ""signal"", ""id"": 7}","{""kind"": ""dot"", ""id"": 17}",65985
30,32,7,2,13,add,"{""kind"": ""signal"", ""id"": 12}","{""kind"": ""dot"", ""id"": 18}",65986
31,32,7,3,18,add,"{""kind"": ""signal"", ""id"": 17}","{""kind"": ""dot"", ""id"": 19}",65987
32,32,7,4,22,add,"{""kind"": ""signal"", ""id"": 21}","{""kind"": ""dot"", ""id"": 20}",65988
33,32,7,5,26,add,"{""kind"": ""signal"", ""id"": 25}","{""kind"": ""dot"", ""id"": 21}",65989
34,32,7,6,30,add,"{""kind"": ""signal"", ""id"": 29}","{""kind"": ""dot"", ""id"": 22}",65990
35,32,7,7,34,add,"{""kind"": ""signal"", ""id"": 33}","{""kind"": ""dot"", ""id"": 23}",65991
36,32,7,8,76,sub,"{""kind"": ""signal"", ""id"": 33}","{""kind"": ""dot"", ""id"": 23}",65992
37,32,7,9,78,sub,"{""kind"": ""signal"", ""id"": 29}","{""kind"": ""dot"", ""id"": 22}",65993
38,32,7,10,80,sub,"{""kind"": ""signal"", ""id"": 25}","{""kind"": ""dot"", ""id"": 21}",65994
39,32,7,11,82,sub,"{""kind"": ""signal"", ""id"": 21}","{""kind"": ""dot"", ""id"": 20}",65995
40,32,7,12,84,sub,"{""kind"": ""signal"", ""id"": 17}","{""kind"": ""dot"", ""id"": 19}",65996
