index,cell,pin,net,driver
1,p_0_out,CLK,<const0>,GND/G
1,p_0_out,RSTA,<const0>,GND/G
1,p_0_out,RSTB,<const0>,GND/G
1,p_0_out,RSTM,<const0>,GND/G
1,p_0_out,RSTP,<const0>,GND/G
1,p_0_out,CEA1,<const0>,GND/G
1,p_0_out,CEA2,<const0>,GND/G
1,p_0_out,CEAD,<const0>,GND/G
1,p_0_out,CEB1,<const0>,GND/G
1,p_0_out,CEB2,<const0>,GND/G
1,p_0_out,CEM,<const0>,GND/G
1,p_0_out,CEP,<const0>,GND/G
1,p_0_out,CECTRL,<const0>,GND/G
1,p_0_out,CED,<const0>,GND/G
1,p_0_out,CEINMODE,<const0>,GND/G
2,p_0_out__0,CLK,<const0>,GND/G
2,p_0_out__0,RSTA,<const0>,GND/G
2,p_0_out__0,RSTB,<const0>,GND/G
2,p_0_out__0,RSTM,<const0>,GND/G
2,p_0_out__0,RSTP,<const0>,GND/G
2,p_0_out__0,CEA1,<const0>,GND/G
2,p_0_out__0,CEA2,<const0>,GND/G
2,p_0_out__0,CEAD,<const0>,GND/G
2,p_0_out__0,CEB1,<const0>,GND/G
2,p_0_out__0,CEB2,<const0>,GND/G
2,p_0_out__0,CEM,<const0>,GND/G
2,p_0_out__0,CEP,<const0>,GND/G
2,p_0_out__0,CECTRL,<const0>,GND/G
2,p_0_out__0,CED,<const0>,GND/G
2,p_0_out__0,CEINMODE,<const0>,GND/G
3,p_0_out__0__0,CLK,<const0>,GND/G
3,p_0_out__0__0,RSTA,<const0>,GND/G
3,p_0_out__0__0,RSTB,<const0>,GND/G
3,p_0_out__0__0,RSTM,<const0>,GND/G
3,p_0_out__0__0,RSTP,<const0>,GND/G
3,p_0_out__0__0,CEA1,<const0>,GND/G
3,p_0_out__0__0,CEA2,<const0>,GND/G
3,p_0_out__0__0,CEAD,<const0>,GND/G
3,p_0_out__0__0,CEB1,<const0>,GND/G
3,p_0_out__0__0,CEB2,<const0>,GND/G
3,p_0_out__0__0,CEM,<const0>,GND/G
3,p_0_out__0__0,CEP,<const0>,GND/G
3,p_0_out__0__0,CECTRL,<const0>,GND/G
3,p_0_out__0__0,CED,<const0>,GND/G
3,p_0_out__0__0,CEINMODE,<const0>,GND/G
4,p_0_out__1,CLK,<const0>,GND/G
4,p_0_out__1,RSTA,<const0>,GND/G
4,p_0_out__1,RSTB,<const0>,GND/G
4,p_0_out__1,RSTM,<const0>,GND/G
4,p_0_out__1,RSTP,<const0>,GND/G
4,p_0_out__1,CEA1,<const0>,GND/G
4,p_0_out__1,CEA2,<const0>,GND/G
4,p_0_out__1,CEAD,<const0>,GND/G
