index,cell,loc,AREG,BREG,MREG,PREG,ACASCREG,BCASCREG,ADREG,DREG,USE_MULT,CEM,CEMUX,CEP,CEPRED,RSTA,RSTB,RSTM,RSTP,CECTRL,CEAD,CEINMODE,IS_PRIMITIVE
1,p_0_out,DSP48E2_X10Y44,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
2,p_0_out__0,DSP48E2_X10Y48,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
3,p_0_out__0__0,DSP48E2_X9Y36,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
4,p_0_out__1,DSP48E2_X11Y48,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
5,p_0_out__10,DSP48E2_X9Y37,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
6,p_0_out__10__0,DSP48E2_X10Y32,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
7,p_0_out__11,DSP48E2_X11Y34,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
8,p_0_out__11__0,DSP48E2_X7Y32,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
9,p_0_out__12,DSP48E2_X7Y40,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
10,p_0_out__12__0,DSP48E2_X7Y26,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
11,p_0_out__13,DSP48E2_X10Y36,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
12,p_0_out__13__0,DSP48E2_X8Y28,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
13,p_0_out__14,DSP48E2_X11Y42,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
14,p_0_out__14__0,DSP48E2_X8Y34,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
15,p_0_out__15,DSP48E2_X10Y38,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
16,p_0_out__15__0,DSP48E2_X9Y28,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
17,p_0_out__16,DSP48E2_X11Y46,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
18,p_0_out__16__0,DSP48E2_X10Y26,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
19,p_0_out__17,DSP48E2_X12Y42,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
20,p_0_out__17__0,DSP48E2_X8Y36,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
21,p_0_out__18,DSP48E2_X10Y45,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
22,p_0_out__18__0,DSP48E2_X9Y34,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
23,p_0_out__19,DSP48E2_X11Y38,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
24,p_0_out__19__0,DSP48E2_X9Y32,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
25,p_0_out__1__0,DSP48E2_X7Y44,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
26,p_0_out__2,DSP48E2_X9Y44,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
27,p_0_out__20,DSP48E2_X12Y36,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
28,p_0_out__20__0,DSP48E2_X7Y34,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
29,p_0_out__21,DSP48E2_X12Y38,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
30,p_0_out__21__0,DSP48E2_X12Y34,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
31,p_0_out__22,DSP48E2_X10Y42,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
32,p_0_out__22__0,DSP48E2_X11Y26,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
33,p_0_out__23,DSP48E2_X9Y42,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
34,p_0_out__23__0,DSP48E2_X9Y26,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
35,p_0_out__24,DSP48E2_X10Y39,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
36,p_0_out__24__0,DSP48E2_X9Y30,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
37,p_0_out__25,DSP48E2_X10Y46,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
38,p_0_out__25__0,DSP48E2_X9Y38,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
39,p_0_out__26,DSP48E2_X11Y43,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
40,p_0_out__26__0,DSP48E2_X9Y40,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
41,p_0_out__27,DSP48E2_X10Y40,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
42,p_0_out__27__0,DSP48E2_X7Y48,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
43,p_0_out__28,DSP48E2_X9Y45,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
44,p_0_out__28__0,DSP48E2_X8Y42,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
45,p_0_out__29,DSP48E2_X9Y48,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
46,p_0_out__29__0,DSP48E2_X7Y28,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
47,p_0_out__2__0,DSP48E2_X7Y38,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
48,p_0_out__3,DSP48E2_X11Y39,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
49,p_0_out__30,DSP48E2_X10Y43,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
50,p_0_out__30__0,DSP48E2_X7Y33,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
51,p_0_out__31,DSP48E2_X7Y50,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
52,p_0_out__31__0,DSP48E2_X7Y49,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
53,p_0_out__32,DSP48E2_X8Y40,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
54,p_0_out__32__0,DSP48E2_X7Y35,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
55,p_0_out__33,DSP48E2_X8Y43,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
56,p_0_out__33__0,DSP48E2_X10Y30,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
57,p_0_out__34,DSP48E2_X9Y41,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
58,p_0_out__34__0,DSP48E2_X8Y32,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
59,p_0_out__35,DSP48E2_X9Y46,0,0,0,0,0,0,1,1,MULTIPLY,,,,,,,,,,,,1
