index,slack,delay,logic_levels,startpoint,endpoint
1,-0.462,2.445,7,operand_coeff_reg_reg[31][2]/C,lane_product_reg_reg[86][7]/D
2,-0.461,2.444,7,operand_coeff_reg_reg[31][2]/C,lane_product_reg_reg[86][11]/D
3,-0.458,2.441,7,operand_coeff_reg_reg[31][2]/C,lane_product_reg_reg[86][15]/D
4,-0.453,2.435,7,operand_x_reg_reg[28][8]/C,lane_product_reg_reg[60][14]/D
5,-0.445,2.426,7,operand_coeff_reg_reg[72][0]/C,lane_product_reg_reg[72][37]/D
6,-0.442,2.422,7,operand_coeff_reg_reg[72][0]/C,lane_product_reg_reg[72][16]/D
7,-0.439,2.420,7,operand_coeff_reg_reg[75][3]/C,lane_product_reg_reg[75][15]/D
8,-0.434,2.417,7,operand_coeff_reg_reg[31][2]/C,lane_product_reg_reg[86][36]/D
9,-0.434,2.414,7,operand_coeff_reg_reg[87][3]/C,lane_product_reg_reg[87][19]/D
10,-0.433,2.414,7,operand_x_reg_reg[53][2]/C,lane_product_reg_reg[53][14]/D
11,-0.430,2.413,7,operand_coeff_reg_reg[31][2]/C,lane_product_reg_reg[86][3]/D
12,-0.428,2.409,7,operand_coeff_reg_reg[65][7]/C,lane_product_reg_reg[65][13]/D
13,-0.428,2.410,7,operand_coeff_reg_reg[56][3]/C,lane_product_reg_reg[71][18]/D
14,-0.427,2.408,7,operand_coeff_reg_reg[126][7]/C,lane_product_reg_reg[126][22]/D
15,-0.426,2.405,7,operand_x_reg_reg[47][2]/C,lane_product_reg_reg[47][20]/D
16,-0.424,2.407,7,operand_coeff_reg_reg[79][3]/C,lane_product_reg_reg[118][10]/D
17,-0.423,2.405,7,operand_x_reg_reg[28][8]/C,lane_product_reg_reg[60][10]/D
18,-0.421,2.402,7,operand_coeff_reg_reg[72][0]/C,lane_product_reg_reg[72][1]/D
19,-0.420,2.401,7,operand_x_reg_reg[38][2]/C,lane_product_reg_reg[38][14]/D
20,-0.420,2.402,7,operand_x_reg_reg[28][8]/C,lane_product_reg_reg[60][12]/D
21,-0.420,2.401,7,operand_coeff_reg_reg[115][4]/C,lane_product_reg_reg[115][6]/D
22,-0.420,2.401,7,operand_coeff_reg_reg[33][0]/C,lane_product_reg_reg[33][17]/D
23,-0.420,2.402,7,operand_x_reg_reg[92][15]/C,lane_product_reg_reg[92][35]/D
24,-0.419,2.402,7,operand_coeff_reg_reg[31][2]/C,lane_product_reg_reg[86][14]/D
25,-0.419,2.400,7,operand_x_reg_reg[44][7]/C,lane_product_reg_reg[76][11]/D
26,-0.418,2.398,7,operand_x_reg_reg[7][14]/C,lane_product_reg_reg[7][21]/D
27,-0.417,2.398,7,operand_coeff_reg_reg[112][6]/C,lane_product_reg_reg[112][10]/D
