index,slack,datapath_delay,logic_levels,startpoint,endpoint
1,-0.626,2.605,7,bf_cycle_reg[1]/C,signal_reg_reg[118][20]/D
2,-0.617,2.598,7,bf_cycle_reg[1]/C,signal_reg_reg[114][13]/D
3,-0.599,2.579,7,bf_cycle_reg[1]/C,signal_reg_reg[110][17]/D
4,-0.597,2.577,7,bf_cycle_reg[1]/C,signal_reg_reg[98][21]/D
5,-0.587,2.569,7,operand_x_reg_reg[47][9]/C,lane_product_reg_reg[79][11]/D
6,-0.579,2.560,6,bf_cycle_reg[2]/C,signal_reg_reg[92][19]/D
7,-0.576,2.556,7,bf_cycle_reg[1]/C,signal_reg_reg[114][17]/D
8,-0.576,2.557,6,bf_cycle_reg[2]/C,signal_reg_reg[9][13]/D
9,-0.574,2.554,7,bf_cycle_reg[1]/C,signal_reg_reg[118][21]/D
10,-0.570,2.551,6,bf_cycle_reg[2]/C,signal_reg_reg[92][18]/D
11,-0.569,2.549,7,bf_cycle_reg[1]/C,signal_reg_reg[122][21]/D
12,-0.559,2.539,7,bf_cycle_reg[1]/C,signal_reg_reg[98][17]/D
13,-0.556,2.536,7,bf_cycle_reg[2]/C,signal_reg_reg[9][21]/D
14,-0.554,2.533,7,bf_cycle_reg[1]/C,signal_reg_reg[118][11]/D
15,-0.552,2.532,6,bf_cycle_reg[2]/C,signal_reg_reg[116][18]/D
16,-0.551,2.531,7,bf_cycle_reg[1]/C,signal_reg_reg[94][10]/D
17,-0.550,2.530,7,bf_cycle_reg[2]/C,signal_reg_reg[9][19]/D
18,-0.549,2.529,6,bf_cycle_reg[2]/C,signal_reg_reg[96][21]/D
19,-0.544,2.523,7,bf_cycle_reg[1]/C,signal_reg_reg[110][19]/D
20,-0.542,2.524,7,operand_coeff_reg_reg[40][7]/C,lane_product_reg_reg[40][10]/D
21,-0.538,2.518,7,bf_cycle_reg[1]/C,signal_reg_reg[114][21]/D
22,-0.538,2.518,6,bf_cycle_reg[2]/C,signal_reg_reg[112][21]/D
23,-0.538,2.518,6,bf_cycle_reg[2]/C,signal_reg_reg[47][21]/D
24,-0.536,2.515,7,bf_cycle_reg[2]/C,signal_reg_reg[63][20]/D
25,-0.535,2.515,6,bf_cycle_reg[4]/C,signal_reg_reg[97][21]/D
26,-0.534,2.513,7,bf_cycle_reg[1]/C,signal_reg_reg[114][18]/D
27,-0.532,2.512,7,bf_cycle_reg[1]/C,signal_reg_reg[110][20]/D
28,-0.530,2.510,6,bf_cycle_reg[0]/C,signal_reg_reg[77][15]/D
29,-0.528,2.511,7,operand_x_reg_reg[46][5]/C,lane_product_reg_reg[46][7]/D
30,-0.527,2.507,7,bf_cycle_reg[2]/C,signal_reg_reg[53][21]/D
31,-0.526,2.507,7,bf_cycle_reg[1]/C,signal_reg_reg[98][9]/D
32,-0.526,2.509,7,operand_x_reg_reg[96][5]/C,lane_product_reg_reg[96][18]/D
33,-0.525,2.506,7,operand_coeff_reg_reg[57][7]/C,lane_product_reg_reg[57][18]/D
