cycle,event,phase,tu,vector,group,lane,slot,bank,addr,epoch,request_id
6,read_request,1,0,0,0,0,0,0,0,,0
6,read_request,1,0,0,0,1,0,1,16,,1
6,read_request,1,0,0,0,2,0,2,32,,2
6,read_request,1,0,0,0,3,0,3,48,,3
6,read_response,1,0,0,0,0,0,0,0,,0
6,stage_lane_capture,1,0,0,0,0,0,0,0,,0
6,read_response,1,0,0,0,1,0,1,16,,1
6,stage_lane_capture,1,0,0,0,1,0,1,16,,1
6,read_response,1,0,0,0,2,0,2,32,,2
6,stage_lane_capture,1,0,0,0,2,0,2,32,,2
6,read_response,1,0,0,0,3,0,3,48,,3
6,stage_lane_capture,1,0,0,0,3,0,3,48,,3
7,read_request,1,0,0,1,0,0,0,64,,4
7,read_request,1,0,0,1,1,0,1,80,,5
7,read_request,1,0,0,1,2,0,2,96,,6
7,read_request,1,0,0,1,3,0,3,112,,7
7,read_response,1,0,0,1,0,0,0,64,,4
7,stage_lane_capture,1,0,0,1,0,0,0,64,,4
7,read_response,1,0,0,1,1,0,1,80,,5
7,stage_lane_capture,1,0,0,1,1,0,1,80,,5
7,read_response,1,0,0,1,2,0,2,96,,6
7,stage_lane_capture,1,0,0,1,2,0,2,96,,6
7,read_response,1,0,0,1,3,0,3,112,,7
7,stage_lane_capture,1,0,0,1,3,0,3,112,,7
8,read_request,1,0,0,2,0,0,0,128,,8
8,read_request,1,0,0,2,1,0,1,144,,9
8,read_request,1,0,0,2,2,0,2,160,,10
8,read_request,1,0,0,2,3,0,3,176,,11
8,read_response,1,0,0,2,0,0,0,128,,8
8,stage_lane_capture,1,0,0,2,0,0,0,128,,8
8,read_response,1,0,0,2,1,0,1,144,,9
8,stage_lane_capture,1,0,0,2,1,0,1,144,,9
8,read_response,1,0,0,2,2,0,2,160,,10
8,stage_lane_capture,1,0,0,2,2,0,2,160,,10
8,read_response,1,0,0,2,3,0,3,176,,11
8,stage_lane_capture,1,0,0,2,3,0,3,176,,11
9,read_request,1,0,0,3,0,0,0,192,,12
9,read_request,1,0,0,3,1,0,1,208,,13
9,read_request,1,0,0,3,2,0,2,224,,14
9,read_request,1,0,0,3,3,0,3,240,,15
9,read_response,1,0,0,3,0,0,0,192,,12
9,stage_lane_capture,1,0,0,3,0,0,0,192,,12
9,read_response,1,0,0,3,1,0,1,208,,13
9,stage_lane_capture,1,0,0,3,1,0,1,208,,13
9,read_response,1,0,0,3,2,0,2,224,,14
9,stage_lane_capture,1,0,0,3,2,0,2,224,,14
9,read_response,1,0,0,3,3,0,3,240,,15
9,stage_lane_capture,1,0,0,3,3,0,3,240,,15
10,read_request,1,0,0,4,0,0,0,256,,16
10,read_request,1,0,0,4,1,0,1,272,,17
10,read_request,1,0,0,4,2,0,2,288,,18
10,read_request,1,0,0,4,3,0,3,304,,19
10,read_response,1,0,0,4,0,0,0,256,,16
10,stage_lane_capture,1,0,0,4,0,0,0,256,,16
10,read_response,1,0,0,4,1,0,1,272,,17
10,stage_lane_capture,1,0,0,4,1,0,1,272,,17
10,read_response,1,0,0,4,2,0,2,288,,18
10,stage_lane_capture,1,0,0,4,2,0,2,288,,18
