cycle,event,phase,vector,group,index,addr,end,cache,bank,request_id
1,epoch_scrub,0,,,,0,,A,0,
1,epoch_scrub,0,,,,0,,A,1,
1,epoch_scrub,0,,,,0,,A,2,
1,epoch_scrub,0,,,,0,,A,3,
1,epoch_scrub,0,,,,0,,B,0,
1,epoch_scrub,0,,,,0,,B,1,
1,epoch_scrub,0,,,,0,,B,2,
1,epoch_scrub,0,,,,0,,B,3,
2,epoch_scrub,0,,,,1,,A,0,
2,epoch_scrub,0,,,,1,,A,1,
2,epoch_scrub,0,,,,1,,A,2,
2,epoch_scrub,0,,,,1,,A,3,
2,epoch_scrub,0,,,,1,,B,0,
2,epoch_scrub,0,,,,1,,B,1,
2,epoch_scrub,0,,,,1,,B,2,
2,epoch_scrub,0,,,,1,,B,3,
3,epoch_scrub,0,,,,2,,A,0,
3,epoch_scrub,0,,,,2,,A,1,
3,epoch_scrub,0,,,,2,,A,2,
3,epoch_scrub,0,,,,2,,A,3,
3,epoch_scrub,0,,,,2,,B,0,
3,epoch_scrub,0,,,,2,,B,1,
3,epoch_scrub,0,,,,2,,B,2,
3,epoch_scrub,0,,,,2,,B,3,
4,epoch_scrub,0,,,,3,,A,0,
4,epoch_scrub,0,,,,3,,A,1,
4,epoch_scrub,0,,,,3,,A,2,
4,epoch_scrub,0,,,,3,,A,3,
4,epoch_scrub,0,,,,3,,B,0,
4,epoch_scrub,0,,,,3,,B,1,
4,epoch_scrub,0,,,,3,,B,2,
4,epoch_scrub,0,,,,3,,B,3,
5,epoch_scrub,0,,,,4,,A,0,
5,epoch_scrub,0,,,,4,,A,1,
5,epoch_scrub,0,,,,4,,A,2,
5,epoch_scrub,0,,,,4,,A,3,
5,epoch_scrub,0,,,,4,,B,0,
5,epoch_scrub,0,,,,4,,B,1,
5,epoch_scrub,0,,,,4,,B,2,
5,epoch_scrub,0,,,,4,,B,3,
6,epoch_scrub,0,,,,5,,A,0,
6,epoch_scrub,0,,,,5,,A,1,
6,epoch_scrub,0,,,,5,,A,2,
6,epoch_scrub,0,,,,5,,A,3,
6,epoch_scrub,0,,,,5,,B,0,
6,epoch_scrub,0,,,,5,,B,1,
6,epoch_scrub,0,,,,5,,B,2,
6,epoch_scrub,0,,,,5,,B,3,
7,epoch_scrub,0,,,,6,,A,0,
7,epoch_scrub,0,,,,6,,A,1,
7,epoch_scrub,0,,,,6,,A,2,
7,epoch_scrub,0,,,,6,,A,3,
7,epoch_scrub,0,,,,6,,B,0,
7,epoch_scrub,0,,,,6,,B,1,
7,epoch_scrub,0,,,,6,,B,2,
7,epoch_scrub,0,,,,6,,B,3,
8,epoch_scrub,0,,,,7,,A,0,
8,epoch_scrub,0,,,,7,,A,1,
8,epoch_scrub,0,,,,7,,A,2,
8,epoch_scrub,0,,,,7,,A,3,
8,epoch_scrub,0,,,,7,,B,0,
8,epoch_scrub,0,,,,7,,B,1,
8,epoch_scrub,0,,,,7,,B,2,
8,epoch_scrub,0,,,,7,,B,3,
9,epoch_scrub,0,,,,8,,A,0,
