index,category,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_cell,start_loc,end_cell,end_loc,start_net_fanout
0,A_staging_response,-0.037000,1.922000,0.458000,1.464000,"5","u_dut/stage_bank_addr0_reg[2]_rep__0/C","u_dut/stage_rsp_data1_q_reg[15]/D","u_dut/stage_bank_addr0_reg[2]_rep__0","SLICE_X69Y50","u_dut/stage_rsp_data1_q_reg[15]","SLICE_X72Y41","144"
1,B_staging_capture,-0.035000,1.936000,0.526000,1.410000,"3","u_dut/stage_rsp_tag1_q_reg[3]/C","u_dut/stage_b_reg[37][12]/D","u_dut/stage_rsp_tag1_q_reg[3]","SLICE_X76Y55","u_dut/stage_b_reg[37][12]","SLICE_X86Y23","32"
2,C_result_write,-0.030000,1.854000,0.383000,1.471000,"5","u_dut/frozen_r4c/output_bank_reg[1]_rep__5/C","u_dut/result_mem_reg_832_895_14_20/RAMG/I","u_dut/frozen_r4c/output_bank_reg[1]_rep__5","SLICE_X78Y90","u_dut/result_mem_reg_832_895_14_20/RAMG","SLICE_X81Y89","122"
3,C_result_write,-0.029000,1.863000,0.388000,1.475000,"5","u_dut/frozen_r4c/output_bank_reg[0]_rep__6/C","u_dut/result_mem_reg_192_255_28_34/RAMA/I","u_dut/frozen_r4c/output_bank_reg[0]_rep__6","SLICE_X73Y84","u_dut/result_mem_reg_192_255_28_34/RAMA","SLICE_X75Y94","122"
4,A_staging_response,-0.027000,1.823000,0.299000,1.524000,"5","u_dut/stage_bank_addr3_reg[5]_rep__4/C","u_dut/stage_rsp_data3_q_reg[1]/D","u_dut/stage_bank_addr3_reg[5]_rep__4","SLICE_X75Y60","u_dut/stage_rsp_data3_q_reg[1]","SLICE_X76Y58","112"
5,C_result_write,-0.026000,1.871000,0.388000,1.483000,"5","u_dut/frozen_r4c/output_bank_reg[0]_rep__6/C","u_dut/result_mem_reg_128_191_28_34/RAMA/I","u_dut/frozen_r4c/output_bank_reg[0]_rep__6","SLICE_X73Y84","u_dut/result_mem_reg_128_191_28_34/RAMA","SLICE_X74Y99","122"
6,A_staging_response,-0.025000,1.919000,0.466000,1.453000,"5","u_dut/stage_bank_addr0_reg[2]_rep__7/C","u_dut/stage_rsp_data0_q_reg[6]/D","u_dut/stage_bank_addr0_reg[2]_rep__7","SLICE_X59Y41","u_dut/stage_rsp_data0_q_reg[6]","SLICE_X68Y28","112"
7,D_r4c_or_launch,-0.020000,1.869000,0.131000,1.738000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[54][8]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[54][8]","SLICE_X90Y24","163"
8,C_result_write,-0.019000,1.864000,0.388000,1.476000,"5","u_dut/frozen_r4c/output_bank_reg[0]_rep__6/C","u_dut/result_mem_reg_704_767_28_34/RAMA/I","u_dut/frozen_r4c/output_bank_reg[0]_rep__6","SLICE_X73Y84","u_dut/result_mem_reg_704_767_28_34/RAMA","SLICE_X74Y100","122"
9,A_staging_response,-0.018000,1.789000,0.453000,1.336000,"4","u_dut/stage_bank_addr0_reg[1]_rep__32/C","u_dut/stage_rsp_tag2_q_reg[0]/D","u_dut/stage_bank_addr0_reg[1]_rep__32","SLICE_X67Y70","u_dut/stage_rsp_tag2_q_reg[0]","SLICE_X77Y44","112"
