"family","path_index","slack_ns","datapath_delay_ns","logic_delay_ns","route_delay_ns","source_q_cumulative_ns","ram_addr_cumulative_ns","pre_ram_ns","post_ram_ns","source","endpoint","ram_resource"
"A_cache_to_lfnst_response","1","-1.034","3.016","0.792","2.224","0.108","1.558","1.45","1.486","kernel_rd_req_pending_q_reg_replica/C","lfnst_mem_resp_data_q_reg[4]/D","net (fo=56, routed)          0.632     1.558    gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_256_319_0_6/ADDRE2"
"A_cache_to_lfnst_response","2","-1.016","2.997","0.831","2.166","0.108","1.608","1.5","1.418","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[3]/D","net (fo=220, routed)         0.787     1.608    gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/data_mem_reg_768_831_0_6/ADDRD0"
"A_cache_to_lfnst_response","3","-1.015","2.995","0.711","2.284","0.108","1.685","1.577","1.339","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[14]/D","net (fo=220, routed)         0.864     1.685    gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/data_mem_reg_0_63_14_15/ADDRA0"
"A_cache_to_lfnst_response","4","-1.013","2.994","0.72","2.274","0.108","1.704","1.596","1.319","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[8]/D","net (fo=220, routed)         0.884     1.704    gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/data_mem_reg_256_319_7_13/ADDRB0"
"A_cache_to_lfnst_response","5","-1.012","2.992","0.806","2.186","0.108","1.645","1.537","1.376","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[6]/D","net (fo=220, routed)         0.824     1.645    gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/data_mem_reg_768_831_0_6/ADDRG0"
"A_cache_to_lfnst_response","6","-1.01","2.991","0.628","2.363","0.109","1.576","1.467","1.444","lfnst_case_q_reg_replica/C","lfnst_mem_resp_data_q_reg[12]/D","net (fo=495, routed)         0.735     1.576    gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_0_63_7_13/ADDRF3"
"A_cache_to_lfnst_response","7","-1.006","2.986","0.71","2.276","0.108","1.558","1.45","1.457","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[9]/D","net (fo=52, routed)          0.470     1.558    gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/data_mem_reg_192_255_7_13/ADDRC0"
"A_cache_to_lfnst_response","8","-1","2.98","0.731","2.249","0.108","1.646","1.538","1.363","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[11]/D","net (fo=220, routed)         0.825     1.646    gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/data_mem_reg_320_383_7_13/ADDRE0"
"A_cache_to_lfnst_response","9","-0.983","2.964","0.918","2.046","0.108","1.576","1.468","1.417","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[1]/D","net (fo=240, routed)         0.751     1.576    gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_960_1023_0_6/ADDRB0"
"A_cache_to_lfnst_response","10","-0.981","2.962","0.833","2.129","0.108","1.578","1.47","1.413","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[0]/D","net (fo=217, routed)         0.550     1.578    gen_input_slots[1].gen_input_banks[1].u_input_cache_bank/data_mem_reg_768_831_0_6/ADDRA0"
"A_cache_to_lfnst_response","11","-0.976","2.957","0.867","2.09","0.108","1.501","1.393","1.485","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[2]/D","net (fo=240, routed)         0.675     1.501    gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_640_703_0_6/ADDRC0"
"A_cache_to_lfnst_response","12","-0.97","2.95","0.675","2.275","0.108","1.573","1.465","1.406","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[7]/D","net (fo=217, routed)         0.545     1.573    gen_input_slots[1].gen_input_banks[1].u_input_cache_bank/data_mem_reg_704_767_7_13/ADDRA0"
"A_cache_to_lfnst_response","13","-0.966","2.946","0.784","2.162","0.108","1.686","1.578","1.289","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[15]/D","net (fo=220, routed)         0.865     1.686    gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/data_mem_reg_0_63_14_15/ADDRB0"
"A_cache_to_lfnst_response","14","-0.963","2.944","0.65","2.294","0.108","1.644","1.536","1.329","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[5]/D","net (fo=288, routed)         0.809     1.644    gen_input_slots[1].gen_input_banks[1].u_input_cache_bank/data_mem_reg_512_575_0_6/ADDRF5"
"A_cache_to_lfnst_response","15","-0.954","2.935","0.697","2.238","0.108","1.715","1.607","1.249","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[13]/D","net (fo=220, routed)         0.894     1.715    gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/data_mem_reg_448_511_7_13/ADDRG0"
"A_cache_to_lfnst_response","16","-0.95","2.931","0.722","2.209","0.108","1.541","1.433","1.419","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[10]/D","net (fo=240, routed)         0.715     1.541    gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_0_63_7_13/ADDRD0"
