index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
0,A_cache_to_lfnst_response,-1.034000,3.016000,0.792000,2.224000,"8","kernel_rd_req_pending_q_reg_replica/C","lfnst_mem_resp_data_q_reg[4]/D","SLICE_X78Y136","SLICE_X77Y175",""
1,A_cache_to_lfnst_response,-1.016000,2.997000,0.831000,2.166000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[3]/D","SLICE_X78Y139","SLICE_X77Y183",""
2,A_cache_to_lfnst_response,-1.015000,2.995000,0.711000,2.284000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[14]/D","SLICE_X78Y139","SLICE_X78Y190",""
3,A_cache_to_lfnst_response,-1.013000,2.994000,0.720000,2.274000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[8]/D","SLICE_X78Y139","SLICE_X77Y189",""
4,A_cache_to_lfnst_response,-1.012000,2.992000,0.806000,2.186000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[6]/D","SLICE_X78Y139","SLICE_X77Y182",""
5,A_cache_to_lfnst_response,-1.010000,2.991000,0.628000,2.363000,"8","lfnst_case_q_reg_replica/C","lfnst_mem_resp_data_q_reg[12]/D","SLICE_X78Y137","SLICE_X76Y191",""
6,A_cache_to_lfnst_response,-1.006000,2.986000,0.710000,2.276000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[9]/D","SLICE_X78Y139","SLICE_X77Y194",""
7,B_kernel_control_to_p4_input_mem,-1.002000,2.983000,0.461000,2.522000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[3][58][12]/D","SLICE_X101Y76","SLICE_X82Y15",""
8,C_other_cache_kernel_or_write,-1.000000,2.982000,0.559000,2.423000,"6","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__2/C","vwrite_cmd_data_q_reg[1][15]/D","SLICE_X91Y71","SLICE_X72Y58",""
9,A_cache_to_lfnst_response,-1.000000,2.980000,0.731000,2.249000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[11]/D","SLICE_X78Y139","SLICE_X76Y188",""
10,B_kernel_control_to_p4_input_mem,-0.996000,2.977000,0.461000,2.516000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][58][12]/D","SLICE_X101Y76","SLICE_X82Y14",""
11,C_other_cache_kernel_or_write,-0.993000,2.975000,0.595000,2.380000,"6","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__2/C","vwrite_cmd_data_q_reg[2][15]/D","SLICE_X91Y71","SLICE_X76Y70",""
12,B_kernel_control_to_p4_input_mem,-0.992000,2.974000,0.549000,2.425000,"6","kernel_vector_q_reg[1]_rep__2/C","u_unified_p4_kernel/input_mem_reg[3][12][4]/D","SLICE_X100Y81","SLICE_X76Y23",""
13,B_kernel_control_to_p4_input_mem,-0.990000,2.971000,0.461000,2.510000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[1][58][12]/D","SLICE_X101Y76","SLICE_X82Y13",""
14,B_kernel_control_to_p4_input_mem,-0.989000,2.969000,0.461000,2.508000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[3][38][12]/D","SLICE_X101Y76","SLICE_X85Y16",""
15,B_kernel_control_to_p4_input_mem,-0.989000,2.969000,0.461000,2.508000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][54][12]/D","SLICE_X101Y76","SLICE_X88Y9",""
16,B_kernel_control_to_p4_input_mem,-0.988000,2.969000,0.461000,2.508000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[0][58][12]/D","SLICE_X101Y76","SLICE_X82Y14",""
17,B_kernel_control_to_p4_input_mem,-0.986000,2.967000,0.461000,2.506000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[1][54][12]/D","SLICE_X101Y76","SLICE_X89Y10",""
18,A_cache_to_lfnst_response,-0.983000,2.964000,0.918000,2.046000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[1]/D","SLICE_X78Y139","SLICE_X78Y187",""
19,B_kernel_control_to_p4_input_mem,-0.982000,2.964000,0.667000,2.297000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[3][14][1]/D","SLICE_X102Y81","SLICE_X97Y13",""
20,A_cache_to_lfnst_response,-0.981000,2.962000,0.833000,2.129000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[0]/D","SLICE_X78Y139","SLICE_X78Y187",""
21,B_kernel_control_to_p4_input_mem,-0.981000,2.962000,0.667000,2.295000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[0][22][1]/D","SLICE_X102Y81","SLICE_X99Y13",""
22,B_kernel_control_to_p4_input_mem,-0.978000,2.957000,0.461000,2.496000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[0][34][12]/D","SLICE_X101Y76","SLICE_X83Y15",""
23,A_cache_to_lfnst_response,-0.976000,2.957000,0.867000,2.090000,"8","kernel_stage_q_reg_replica_11/C","lfnst_mem_resp_data_q_reg[2]/D","SLICE_X78Y139","SLICE_X77Y185",""
24,B_kernel_control_to_p4_input_mem,-0.975000,2.956000,0.471000,2.485000,"6","kernel_vector_q_reg[0]_rep__1/C","u_unified_p4_kernel/input_mem_reg[2][39][10]/D","SLICE_X95Y72","SLICE_X107Y27",""
25,B_kernel_control_to_p4_input_mem,-0.974000,2.957000,0.524000,2.433000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[1][33][10]/D","SLICE_X87Y62","SLICE_X106Y34",""
26,B_kernel_control_to_p4_input_mem,-0.974000,2.956000,0.667000,2.289000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[3][38][1]/D","SLICE_X102Y81","SLICE_X85Y16",""
27,B_kernel_control_to_p4_input_mem,-0.973000,2.953000,0.461000,2.492000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][50][12]/D","SLICE_X101Y76","SLICE_X85Y17",""
28,B_kernel_control_to_p4_input_mem,-0.971000,2.952000,0.546000,2.406000,"6","lfnst_grid_reg[20][14]/C","u_unified_p4_kernel/input_mem_reg[2][14][14]/D","SLICE_X103Y71","SLICE_X98Y10",""
29,B_kernel_control_to_p4_input_mem,-0.970000,2.949000,0.425000,2.524000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][23][11]/D","SLICE_X101Y76","SLICE_X97Y18",""
