index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
0,C_other_cache_read_or_response,-0.560000,2.360000,0.648000,1.712000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_7_13/RAMA/WE","SLICE_X68Y90","SLICE_X50Y102",""
1,C_other_cache_read_or_response,-0.560000,2.360000,0.648000,1.712000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_7_13/RAMB/WE","SLICE_X68Y90","SLICE_X50Y102",""
2,C_other_cache_read_or_response,-0.560000,2.360000,0.648000,1.712000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_7_13/RAMC/WE","SLICE_X68Y90","SLICE_X50Y102",""
3,C_other_cache_read_or_response,-0.560000,2.360000,0.648000,1.712000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_7_13/RAMD/WE","SLICE_X68Y90","SLICE_X50Y102",""
4,C_other_cache_read_or_response,-0.560000,2.360000,0.648000,1.712000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_7_13/RAME/WE","SLICE_X68Y90","SLICE_X50Y102",""
5,C_other_cache_read_or_response,-0.560000,2.360000,0.648000,1.712000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_7_13/RAMF/WE","SLICE_X68Y90","SLICE_X50Y102",""
6,C_other_cache_read_or_response,-0.560000,2.360000,0.648000,1.712000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_7_13/RAMG/WE","SLICE_X68Y90","SLICE_X50Y102",""
7,C_other_cache_read_or_response,-0.560000,2.360000,0.648000,1.712000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_7_13/RAMH/WE","SLICE_X68Y90","SLICE_X50Y102",""
8,C_other_cache_read_or_response,-0.551000,2.350000,0.648000,1.702000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_0_6/RAMA/WE","SLICE_X68Y90","SLICE_X50Y87",""
9,C_other_cache_read_or_response,-0.551000,2.350000,0.648000,1.702000,"6","slot_width_reg[1][5]_replica/C","gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_512_575_0_6/RAMB/WE","SLICE_X68Y90","SLICE_X50Y87",""
