index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
0,C_other_cache_kernel_or_write,-0.238000,2.134000,0.733000,1.401000,"8","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_rd_req_group_q_reg[0]/CE","SLICE_X78Y31","SLICE_X88Y26",""
1,C_other_cache_kernel_or_write,-0.238000,2.134000,0.733000,1.401000,"8","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_rd_req_group_q_reg[1]/CE","SLICE_X78Y31","SLICE_X88Y26",""
2,C_other_cache_kernel_or_write,-0.238000,2.133000,0.733000,1.400000,"8","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_rd_req_group_q_reg[2]/CE","SLICE_X78Y31","SLICE_X88Y26",""
3,C_other_cache_kernel_or_write,-0.238000,2.133000,0.733000,1.400000,"8","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_rd_req_group_q_reg[3]/CE","SLICE_X78Y31","SLICE_X88Y26",""
4,C_other_cache_kernel_or_write,-0.238000,2.133000,0.733000,1.400000,"8","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_rd_req_group_q_reg[4]/CE","SLICE_X78Y31","SLICE_X88Y26",""
5,A_cache_to_lfnst_response,-0.237000,2.218000,0.656000,1.562000,"6","rd_cmd_addr_q_reg[0][3][0]/C","lfnst_mem_resp_valid_q_reg/D","SLICE_X80Y19","SLICE_X84Y18",""
6,C_other_cache_kernel_or_write,-0.214000,2.196000,0.426000,1.770000,"5","rd_cmd_addr_q_reg[0][0][1]/C","kernel_rd_raw_data_q_reg[10]/D","SLICE_X78Y13","SLICE_X76Y27",""
7,E_other,-0.211000,2.191000,0.440000,1.751000,"4","lfnst_run_q_reg_replica/C","kernel_ctx_output_size_q_reg[2]_replica/D","SLICE_X96Y29","SLICE_X80Y31",""
8,E_other,-0.210000,2.106000,0.708000,1.398000,"8","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_feed_group_q_reg[0]/CE","SLICE_X78Y31","SLICE_X88Y29",""
9,E_other,-0.210000,2.106000,0.708000,1.398000,"8","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_feed_group_q_reg[2]/CE","SLICE_X78Y31","SLICE_X88Y29",""
10,C_other_cache_kernel_or_write,-0.209000,2.191000,0.554000,1.637000,"7","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__3/C","vwrite_cmd_data_q_reg[0][11]/D","SLICE_X57Y103","SLICE_X72Y68",""
11,C_other_cache_kernel_or_write,-0.208000,2.189000,0.466000,1.723000,"5","u_unified_p4_kernel/fifo_rd_ptr_q_reg[3]/C","vwrite_cmd_data_q_reg[1][3]/D","SLICE_X58Y106","SLICE_X71Y68",""
12,C_other_cache_kernel_or_write,-0.207000,2.187000,0.476000,1.711000,"5","kernel_h_rd_addr_q_reg[0][0]/C","kernel_h_rd_data_q_reg[1]/D","SLICE_X79Y38","SLICE_X84Y31",""
13,A_cache_to_lfnst_response,-0.206000,2.187000,0.558000,1.629000,"6","rd_cmd_addr_q_reg[0][0][3]/C","lfnst_mem_resp_data_q_reg[1]/D","SLICE_X78Y17","SLICE_X76Y4",""
14,D_control_or_r4c,-0.206000,2.185000,0.663000,1.522000,"6","lfnst_run_q_reg_replica/C","lfnst_grid_reg[18][12]/D","SLICE_X96Y29","SLICE_X104Y14",""
15,C_other_cache_kernel_or_write,-0.205000,2.187000,0.598000,1.589000,"7","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__2/C","vwrite_cmd_data_q_reg[1][12]/D","SLICE_X64Y117","SLICE_X77Y78",""
16,E_other,-0.202000,2.184000,0.482000,1.702000,"5","kernel_feed_group_q_reg[0]/C","u_unified_p4_kernel/ingress_data_q_reg[54]/D","SLICE_X88Y29","SLICE_X97Y33",""
17,A_cache_to_lfnst_response,-0.201000,2.183000,0.488000,1.695000,"6","rd_cmd_addr_q_reg[0][0][1]/C","lfnst_mem_resp_data_q_reg[9]/D","SLICE_X78Y13","SLICE_X69Y23",""
18,E_other,-0.199000,2.181000,0.434000,1.747000,"5","kernel_feed_group_q_reg[0]/C","u_unified_p4_kernel/ingress_data_q_reg[49]/D","SLICE_X88Y29","SLICE_X91Y37",""
19,E_other,-0.196000,2.178000,0.486000,1.692000,"5","kernel_feed_group_q_reg[0]/C","u_unified_p4_kernel/ingress_data_q_reg[50]/D","SLICE_X88Y29","SLICE_X99Y34",""
20,C_other_cache_kernel_or_write,-0.195000,2.178000,0.471000,1.707000,"5","rd_cmd_addr_q_reg[0][0][1]/C","kernel_rd_raw_data_q_reg[26]/D","SLICE_X78Y13","SLICE_X75Y18",""
21,A_cache_to_lfnst_response,-0.192000,2.174000,0.543000,1.631000,"6","rd_cmd_addr_q_reg[0][0][1]/C","lfnst_mem_resp_data_q_reg[2]/D","SLICE_X78Y13","SLICE_X80Y3",""
22,E_other,-0.191000,2.174000,0.519000,1.655000,"5","kernel_feed_group_q_reg[0]/C","u_unified_p4_kernel/ingress_data_q_reg[36]/D","SLICE_X88Y29","SLICE_X92Y36",""
23,C_other_cache_kernel_or_write,-0.191000,2.172000,0.555000,1.617000,"5","u_unified_p4_kernel/fifo_count_q_reg[2]/C","vwrite_cmd_data_q_reg[0][6]/D","SLICE_X70Y86","SLICE_X72Y77",""
24,A_cache_to_lfnst_response,-0.190000,2.172000,0.420000,1.752000,"6","rd_cmd_addr_q_reg[0][0][1]/C","lfnst_mem_resp_data_q_reg[14]/D","SLICE_X78Y13","SLICE_X70Y17",""
25,A_cache_to_lfnst_response,-0.190000,2.170000,0.617000,1.553000,"6","rd_cmd_addr_q_reg[0][3][0]/C","lfnst_mem_resp_valid_q_reg_rep/D","SLICE_X80Y19","SLICE_X84Y16",""
26,C_other_cache_kernel_or_write,-0.190000,2.171000,0.557000,1.614000,"5","u_unified_p4_kernel/fifo_count_q_reg[2]/C","vwrite_cmd_data_q_reg[0][8]/D","SLICE_X70Y86","SLICE_X72Y77",""
27,C_other_cache_kernel_or_write,-0.189000,2.170000,0.477000,1.693000,"7","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__1/C","vwrite_cmd_data_q_reg[3][8]/D","SLICE_X57Y107","SLICE_X73Y80",""
28,A_cache_to_lfnst_response,-0.187000,2.168000,0.535000,1.633000,"6","rd_cmd_addr_q_reg[0][0][1]/C","lfnst_mem_resp_data_q_reg[8]/D","SLICE_X78Y13","SLICE_X72Y22",""
29,C_other_cache_kernel_or_write,-0.187000,2.169000,0.538000,1.631000,"7","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__0/C","vwrite_cmd_data_q_reg[0][14]/D","SLICE_X63Y107","SLICE_X74Y84",""
30,A_cache_to_lfnst_response,-0.186000,2.168000,0.557000,1.611000,"6","rd_cmd_addr_q_reg[0][0][1]/C","lfnst_mem_resp_data_q_reg[10]/D","SLICE_X78Y13","SLICE_X70Y22",""
31,D_control_or_r4c,-0.186000,2.080000,0.398000,1.682000,"5","lfnst_run_q_reg_replica/C","lfnst_grid_reg[58][3]/CE","SLICE_X96Y29","SLICE_X103Y23",""
32,C_other_cache_kernel_or_write,-0.184000,2.164000,0.457000,1.707000,"5","rd_cmd_addr_q_reg[1][1][0]/C","kernel_rd_raw_data_q_reg[20]/D","SLICE_X86Y21","SLICE_X69Y28",""
33,D_control_or_r4c,-0.183000,2.165000,0.434000,1.731000,"5","lfnst_grid_valid_reg[34]/C","u_unified_p4_kernel/ingress_data_q_reg[15]/D","SLICE_X102Y20","SLICE_X87Y27",""
