index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,path_group,path_type,startpoint,endpoint,start_cell,start_loc,start_bel,start_ref,start_fanout,end_cell,end_loc,end_bel,end_ref
0,cache_read_command,-0.063000,2.045000,0.563000,1.482000,"6","","","rd_cmd_addr_q_reg[1][2][0]/C","lfnst_mem_resp_data_q_reg[12]/D","rd_cmd_addr_q_reg[1][2][0]","SLICE_X77Y67","SLICEL.AFF2","FDCE","","lfnst_mem_resp_data_q_reg[12]","SLICE_X76Y47","SLICEL.FFF","FDCE"
1,P4_slot_state,-0.060000,1.955000,0.623000,1.332000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","kernel_feed_group_q_reg[0]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","kernel_feed_group_q_reg[0]","SLICE_X79Y58","SLICEM.AFF","FDCE"
2,P4_slot_state,-0.060000,1.955000,0.623000,1.332000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","kernel_feed_group_q_reg[1]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","kernel_feed_group_q_reg[1]","SLICE_X79Y58","SLICEM.BFF","FDCE"
3,P4_slot_state,-0.060000,1.955000,0.623000,1.332000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","kernel_feed_group_q_reg[3]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","kernel_feed_group_q_reg[3]","SLICE_X79Y58","SLICEM.DFF","FDCE"
4,P4_slot_state,-0.060000,1.955000,0.623000,1.332000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","kernel_feed_group_q_reg[4]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","kernel_feed_group_q_reg[4]","SLICE_X79Y58","SLICEM.CFF","FDCE"
5,P4_slot_state,-0.059000,1.955000,0.623000,1.332000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","kernel_feed_group_q_reg[2]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","kernel_feed_group_q_reg[2]","SLICE_X79Y58","SLICEM.DFF2","FDCE"
6,cache_read_command,-0.051000,2.033000,0.519000,1.514000,"6","","","rd_cmd_addr_q_reg[1][2][0]/C","lfnst_mem_resp_data_q_reg[9]/D","rd_cmd_addr_q_reg[1][2][0]","SLICE_X77Y67","SLICEL.AFF2","FDCE","","lfnst_mem_resp_data_q_reg[9]","SLICE_X76Y49","SLICEL.BFF","FDCE"
7,P4_fifo_control,-0.045000,2.024000,0.658000,1.366000,"7","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__4/C","vwrite_cmd_data_q_reg[1][8]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__4","SLICE_X71Y155","SLICEM.FFF","FDCE","","vwrite_cmd_data_q_reg[1][8]","SLICE_X70Y118","SLICEL.AFF","FDCE"
8,cache_read_command,-0.042000,2.023000,0.528000,1.495000,"5","","","rd_cmd_addr_q_reg[1][2][0]/C","kernel_rd_raw_data_q_reg[34]/D","rd_cmd_addr_q_reg[1][2][0]","SLICE_X77Y67","SLICEL.AFF2","FDCE","","kernel_rd_raw_data_q_reg[34]","SLICE_X76Y53","SLICEL.CFF","FDCE"
9,LFNST_control,-0.041000,1.938000,0.600000,1.338000,"5","","","lfnst_ntrs48_q_reg/C","lfnst_grid_reg[0][12]/CE","lfnst_ntrs48_q_reg","SLICE_X73Y20","SLICEL.AFF","FDCE","","lfnst_grid_reg[0][12]","SLICE_X71Y21","SLICEM.HFF","FDCE"
