"endpoint","startpoint","slack","path_group","launch_clock","capture_clock","start_cell","start_ref","start_hierarchy","end_cell","end_ref","end_hierarchy","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","routing_fraction","start_loc","end_loc","start_clock_region","end_clock_region","raw_structural_signature","normalized_structural_signature","classification_bucket","source_family","endpoint_family","violation_magnitude_ns"
"sink_it_data_out_q_reg[0]/D","u_dut/output_index_reg[1]_replica/C","-0.084000000","clk","clk","clk","u_dut/output_index_reg[1]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[0]","FDCE","sink_it_data_out_q_reg","5","0.544000000","1.338000000","1.882000000","0.710945802","SLICE_X59Y135","SLICE_X59Y114","","","u_dut/output_index_reg[1]_replica|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[0]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.084000000"
"sink_it_data_out_q_reg[1]/D","u_dut/output_index_reg[1]_replica_3/C","-0.022000000","clk","clk","clk","u_dut/output_index_reg[1]_replica_3","FDCE","u_dut/output_index_reg_replica_3","sink_it_data_out_q_reg[1]","FDCE","sink_it_data_out_q_reg","5","0.533000000","1.372000000","1.905000000","0.720209974","SLICE_X63Y109","SLICE_X60Y124","","","u_dut/output_index_reg[1]_replica_3|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[1]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_3","harness/sink_boundary","0.022000000"
"sink_it_data_out_q_reg[20]/D","u_dut/output_index_reg[1]_replica_4/C","-0.102000000","clk","clk","clk","u_dut/output_index_reg[1]_replica_4","FDCE","u_dut/output_index_reg_replica_4","sink_it_data_out_q_reg[20]","FDCE","sink_it_data_out_q_reg","5","0.532000000","1.367000000","1.899000000","0.719852554","SLICE_X59Y132","SLICE_X60Y116","","","u_dut/output_index_reg[1]_replica_4|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[20]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_4","harness/sink_boundary","0.102000000"
"sink_it_data_out_q_reg[21]/D","u_dut/output_index_reg[0]_replica/C","-0.044000000","clk","clk","clk","u_dut/output_index_reg[0]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[21]","FDCE","sink_it_data_out_q_reg","5","0.514000000","1.321000000","1.835000000","0.719891008","SLICE_X59Y133","SLICE_X60Y118","","","u_dut/output_index_reg[0]_replica|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[21]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.044000000"
"sink_it_data_out_q_reg[22]/D","u_dut/output_index_reg[0]_replica/C","-0.043000000","clk","clk","clk","u_dut/output_index_reg[0]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[22]","FDCE","sink_it_data_out_q_reg","5","0.434000000","1.398000000","1.832000000","0.763100437","SLICE_X59Y133","SLICE_X60Y117","","","u_dut/output_index_reg[0]_replica|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[22]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.043000000"
"sink_it_data_out_q_reg[23]/D","u_dut/output_index_reg[0]_replica/C","-0.084000000","clk","clk","clk","u_dut/output_index_reg[0]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[23]","FDCE","sink_it_data_out_q_reg","5","0.466000000","1.410000000","1.876000000","0.751599147","SLICE_X59Y133","SLICE_X59Y117","","","u_dut/output_index_reg[0]_replica|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[23]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.084000000"
"sink_it_data_out_q_reg[24]/D","u_dut/output_index_reg[0]_replica/C","-0.012000000","clk","clk","clk","u_dut/output_index_reg[0]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[24]","FDCE","sink_it_data_out_q_reg","5","0.580000000","1.319000000","1.899000000","0.694576093","SLICE_X59Y133","SLICE_X60Y121","","","u_dut/output_index_reg[0]_replica|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[24]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.012000000"
"sink_it_data_out_q_reg[25]/D","u_dut/output_index_reg[1]_replica_4/C","-0.130000000","clk","clk","clk","u_dut/output_index_reg[1]_replica_4","FDCE","u_dut/output_index_reg_replica_4","sink_it_data_out_q_reg[25]","FDCE","sink_it_data_out_q_reg","5","0.433000000","1.494000000","1.927000000","0.775298391","SLICE_X59Y132","SLICE_X60Y116","","","u_dut/output_index_reg[1]_replica_4|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[25]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_4","harness/sink_boundary","0.130000000"
"sink_it_data_out_q_reg[27]/D","u_dut/output_index_reg[1]_replica/C","-0.100000000","clk","clk","clk","u_dut/output_index_reg[1]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[27]","FDCE","sink_it_data_out_q_reg","5","0.412000000","1.484000000","1.896000000","0.782700422","SLICE_X59Y135","SLICE_X64Y117","","","u_dut/output_index_reg[1]_replica|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[27]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.100000000"
"sink_it_data_out_q_reg[28]/D","u_dut/output_index_reg[0]_replica/C","-0.040000000","clk","clk","clk","u_dut/output_index_reg[0]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[28]","FDCE","sink_it_data_out_q_reg","5","0.524000000","1.403000000","1.927000000","0.728074728","SLICE_X59Y133","SLICE_X60Y124","","","u_dut/output_index_reg[0]_replica|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[28]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.040000000"
