"bucket","source_family","endpoint_family","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"DUT_INTERNAL","u_dut/desc_count_reg","u_dut/slot_state_reg","2","-0.081000000","0.001093206","0.042000000","0.039000000","0.042000000","0.042000000"
"DUT_INTERNAL","u_dut/desc_rd_ptr_reg","u_dut/slot_last_input_addr_reg","2","-0.034000000","0.000458877","0.022000000","0.012000000","0.022000000","0.022000000"
"DUT_INTERNAL","u_dut/fill_wr_cmd_addr_q_reg","u_dut/input_cache_bank","144","-4.764000000","0.064296704","0.086000000","0.026000000","0.071000000","0.086000000"
"DUT_INTERNAL","u_dut/fill_wr_cmd_data_q_reg","u_dut/input_cache_bank","39","-1.002000000","0.013523362","0.074000000","0.022000000","0.064000000","0.074000000"
"DUT_INTERNAL","u_dut/fill_wr_cmd_target_q_reg","u_dut/input_cache_bank","40","-0.904000000","0.012200718","0.050000000","0.016000000","0.050000000","0.050000000"
"DUT_INTERNAL","u_dut/kernel_cut_h_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","2","-0.166000000","0.002240397","0.089000000","0.077000000","0.089000000","0.089000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_addr_q_reg_replica_5","u_dut/kernel_h_rd_data_q_reg","1","-0.039000000","0.000526358","0.039000000","0.039000000","0.039000000","0.039000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_addr_q_reg","u_dut/kernel_h_rd_data_q_reg","34","-1.886000000","0.025454153","0.133000000","0.055000000","0.104000000","0.133000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_raw_group_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","2","-0.221000000","0.002982698","0.112000000","0.109000000","0.112000000","0.112000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_raw_tail_pending_q_reg","u_dut/kernel_h_rd_addr_q_reg_replica_4","1","-0.038000000","0.000512862","0.038000000","0.038000000","0.038000000","0.038000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/kernel_ctx_output_size_q_reg","1","-0.049000000","0.000661322","0.049000000","0.049000000","0.049000000","0.049000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/kernel_ctx_output_size_q_reg_replica","1","-0.101000000","0.001363133","0.101000000","0.101000000","0.101000000","0.101000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/kernel_ctx_active_size_q_reg","1","-0.029000000","0.000391395","0.029000000","0.029000000","0.029000000","0.029000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/kernel_ctx_output_size_q_reg","2","-0.064000000","0.000863768","0.056000000","0.008000000","0.056000000","0.056000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/kernel_cut_h_q_reg","2","-0.004000000","0.000053985","0.003000000","0.001000000","0.003000000","0.003000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/kernel_rd_raw_data_q_reg","1","-0.011000000","0.000148460","0.011000000","0.011000000","0.011000000","0.011000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/lfnst_grid_reg","93","-3.720000000","0.050206494","0.112000000","0.025000000","0.090000000","0.112000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/lfnst_input_terms_q_reg","2","-0.054000000","0.000728804","0.052000000","0.002000000","0.052000000","0.052000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/lfnst_ntrs48_q_reg_rep__0","1","-0.119000000","0.001606068","0.119000000","0.119000000","0.119000000","0.119000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/lfnst_ntrs48_q_reg_rep__1","1","-0.026000000","0.000350906","0.026000000","0.026000000","0.026000000","0.026000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/lfnst_ntrs48_q_reg_rep__2","1","-0.045000000","0.000607337","0.045000000","0.045000000","0.045000000","0.045000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/lfnst_ntrs48_q_reg_rep__3","1","-0.059000000","0.000796286","0.059000000","0.059000000","0.059000000","0.059000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/lfnst_ntrs48_q_reg_rep__4","1","-0.072000000","0.000971739","0.072000000","0.072000000","0.072000000","0.072000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/output_index_reg_replica_1","2","-0.075000000","0.001012228","0.047000000","0.028000000","0.047000000","0.047000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/output_index_reg_replica_2","2","-0.082000000","0.001106702","0.046000000","0.036000000","0.046000000","0.046000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/output_index_reg_replica_4","3","-0.168000000","0.002267390","0.101000000","0.058000000","0.101000000","0.101000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/rd_cmd_addr_q_reg","4","-0.239000000","0.003225632","0.103000000","0.044000000","0.103000000","0.103000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/rd_cmd_addr_q_reg_replica","2","-0.113000000","0.001525090","0.068000000","0.045000000","0.068000000","0.068000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/rd_cmd_addr_q_reg_replica_1","1","-0.128000000","0.001727535","0.128000000","0.128000000","0.128000000","0.128000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/rd_cmd_addr_q_reg_replica_2","1","-0.065000000","0.000877264","0.065000000","0.065000000","0.065000000","0.065000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/rd_cmd_addr_q_reg_replica_3","1","-0.087000000","0.001174184","0.087000000","0.087000000","0.087000000","0.087000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/rd_cmd_addr_q_reg_replica_4","1","-0.035000000","0.000472373","0.035000000","0.035000000","0.035000000","0.035000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/rd_cmd_addr_q_reg_replica_5","2","-0.058000000","0.000782789","0.047000000","0.011000000","0.047000000","0.047000000"
"DUT_INTERNAL","u_dut/kernel_stage_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","11","-0.949000000","0.012808055","0.123000000","0.086000000","0.122000000","0.123000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__0_replica_2","u_dut/u_unified_p4_kernel/ingress_data_q_reg","1","-0.091000000","0.001228170","0.091000000","0.091000000","0.091000000","0.091000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__0","u_dut/u_unified_p4_kernel/ingress_data_q_reg","5","-0.384000000","0.005182606","0.112000000","0.078000000","0.112000000","0.112000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__1","u_dut/kernel_vector_q_reg","1","-0.135000000","0.001822010","0.135000000","0.135000000","0.135000000","0.135000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__1","u_dut/kernel_vector_q_reg_rep__2","2","-0.159000000","0.002145923","0.118000000","0.041000000","0.118000000","0.118000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__1","u_dut/u_unified_p4_kernel/ingress_data_q_reg","10","-0.716000000","0.009663401","0.096000000","0.068000000","0.092000000","0.096000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__2","u_dut/u_unified_p4_kernel/ingress_data_q_reg","12","-1.089000000","0.014697546","0.132000000","0.095000000","0.119000000","0.132000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep","u_dut/u_unified_p4_kernel/ingress_data_q_reg","10","-0.760000000","0.010257241","0.121000000","0.083000000","0.119000000","0.121000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_phase_q_reg","1","-0.093000000","0.001255162","0.093000000","0.093000000","0.093000000","0.093000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_phase_q_reg_replica","2","-0.099000000","0.001336141","0.073000000","0.026000000","0.073000000","0.073000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_phase_q_reg_replica_1","2","-0.128000000","0.001727535","0.073000000","0.055000000","0.073000000","0.073000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_phase_q_reg_replica_3","1","-0.080000000","0.001079710","0.080000000","0.080000000","0.080000000","0.080000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_rd_req_group_q_reg","7","-0.676000000","0.009123546","0.111000000","0.109000000","0.111000000","0.111000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_rd_req_pending_q_reg","1","-0.091000000","0.001228170","0.091000000","0.091000000","0.091000000","0.091000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_vector_q_reg","3","-0.134000000","0.001808514","0.088000000","0.026000000","0.088000000","0.088000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_vector_q_reg_rep__0","2","-0.094000000","0.001268659","0.092000000","0.002000000","0.092000000","0.092000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_vector_q_reg_rep__0_replica_2","1","-0.046000000","0.000620833","0.046000000","0.046000000","0.046000000","0.046000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_vector_q_reg_rep__0_replica_3","1","-0.036000000","0.000485869","0.036000000","0.036000000","0.036000000","0.036000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_vector_q_reg_rep__1","3","-0.080000000","0.001079710","0.064000000","0.014000000","0.064000000","0.064000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","4","-0.284000000","0.003832969","0.122000000","0.050000000","0.122000000","0.122000000"
"DUT_INTERNAL","u_dut/lfnst_case_q_reg","u_dut/rd_cmd_addr_q_reg","4","-0.259000000","0.003495560","0.109000000","0.060000000","0.109000000","0.109000000"
"DUT_INTERNAL","u_dut/lfnst_case_q_reg","u_dut/rd_cmd_addr_q_reg_replica","2","-0.137000000","0.001849003","0.072000000","0.065000000","0.072000000","0.072000000"
"DUT_INTERNAL","u_dut/lfnst_case_q_reg","u_dut/rd_cmd_addr_q_reg_replica_2","2","-0.039000000","0.000526358","0.033000000","0.006000000","0.033000000","0.033000000"
"DUT_INTERNAL","u_dut/lfnst_case_q_reg","u_dut/rd_cmd_addr_q_reg_replica_3","1","-0.043000000","0.000580344","0.043000000","0.043000000","0.043000000","0.043000000"
"DUT_INTERNAL","u_dut/lfnst_case_q_reg","u_dut/rd_cmd_addr_q_reg_replica_4","1","-0.056000000","0.000755797","0.056000000","0.056000000","0.056000000","0.056000000"
"DUT_INTERNAL","u_dut/lfnst_case_q_reg","u_dut/rd_cmd_addr_q_reg_replica_5","1","-0.011000000","0.000148460","0.011000000","0.011000000","0.011000000","0.011000000"
"DUT_INTERNAL","u_dut/lfnst_gather_index_q_reg","u_dut/lfnst_mem_req_valid_q_reg","1","-0.092000000","0.001241666","0.092000000","0.092000000","0.092000000","0.092000000"
"DUT_INTERNAL","u_dut/lfnst_grid_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","1","-0.136000000","0.001835506","0.136000000","0.136000000","0.136000000","0.136000000"
"DUT_INTERNAL","u_dut/lfnst_mem_resp_data_q_reg","u_dut/lfnst_grid_reg","6","-0.253000000","0.003414581","0.074000000","0.036000000","0.074000000","0.074000000"
"DUT_INTERNAL","u_dut/lfnst_mem_resp_data_q_reg","u_dut/lfnst_input_terms_q_reg","1","-0.080000000","0.001079710","0.080000000","0.080000000","0.080000000","0.080000000"
"DUT_INTERNAL","u_dut/lfnst_mem_resp_valid_q_reg_rep","u_dut/lfnst_grid_reg","17","-0.619000000","0.008354253","0.088000000","0.033000000","0.052000000","0.088000000"
"DUT_INTERNAL","u_dut/lfnst_ntrs48_q_reg_rep__1","u_dut/lfnst_grid_reg","2","-0.134000000","0.001808514","0.085000000","0.049000000","0.085000000","0.085000000"
"DUT_INTERNAL","u_dut/lfnst_ntrs48_q_reg_rep__2","u_dut/lfnst_grid_reg","1","-0.007000000","0.000094475","0.007000000","0.007000000","0.007000000","0.007000000"
"DUT_INTERNAL","u_dut/lfnst_ntrs48_q_reg_rep__3","u_dut/lfnst_grid_reg","1","-0.011000000","0.000148460","0.011000000","0.011000000","0.011000000","0.011000000"
"DUT_INTERNAL","u_dut/lfnst_run_q_reg","u_dut/kernel_phase_q_reg","4","-0.257000000","0.003468567","0.103000000","0.052000000","0.103000000","0.103000000"
"DUT_INTERNAL","u_dut/lfnst_run_q_reg","u_dut/kernel_phase_q_reg_replica","2","-0.190000000","0.002564310","0.095000000","0.095000000","0.095000000","0.095000000"
"DUT_INTERNAL","u_dut/lfnst_run_q_reg","u_dut/kernel_phase_q_reg_replica_2","3","-0.228000000","0.003077172","0.115000000","0.103000000","0.115000000","0.115000000"
"DUT_INTERNAL","u_dut/lfnst_run_q_reg","u_dut/kernel_phase_q_reg_replica_3","1","-0.103000000","0.001390126","0.103000000","0.103000000","0.103000000","0.103000000"
"DUT_INTERNAL","u_dut/lfnst_run_q_reg","u_dut/lfnst_grid_reg","25","-0.790000000","0.010662132","0.067000000","0.021000000","0.064000000","0.067000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_18","u_dut/kernel_rd_raw_data_q_reg","1","-0.079000000","0.001066213","0.079000000","0.079000000","0.079000000","0.079000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_1","u_dut/kernel_rd_raw_data_q_reg","7","-0.421000000","0.005681972","0.102000000","0.066000000","0.102000000","0.102000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_1","u_dut/lfnst_mem_resp_data_q_reg","2","-0.104000000","0.001403622","0.098000000","0.006000000","0.098000000","0.098000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_1","u_dut/lfnst_mem_resp_valid_q_reg","1","-0.132000000","0.001781521","0.132000000","0.132000000","0.132000000","0.132000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_1","u_dut/lfnst_mem_resp_valid_q_reg_rep","1","-0.128000000","0.001727535","0.128000000","0.128000000","0.128000000","0.128000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_2","u_dut/kernel_rd_raw_data_q_reg","5","-0.381000000","0.005142117","0.119000000","0.072000000","0.119000000","0.119000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_3","u_dut/kernel_rd_raw_data_q_reg","1","-0.066000000","0.000890760","0.066000000","0.066000000","0.066000000","0.066000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_3","u_dut/kernel_rd_raw_valid_q_reg","1","-0.112000000","0.001511593","0.112000000","0.112000000","0.112000000","0.112000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_4","u_dut/kernel_rd_raw_data_q_reg","2","-0.069000000","0.000931249","0.042000000","0.027000000","0.042000000","0.042000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_5","u_dut/kernel_rd_raw_data_q_reg","2","-0.115000000","0.001552082","0.065000000","0.050000000","0.065000000","0.065000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_5","u_dut/lfnst_mem_resp_data_q_reg","1","-0.049000000","0.000661322","0.049000000","0.049000000","0.049000000","0.049000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_6","u_dut/kernel_rd_raw_valid_q_reg","1","-0.031000000","0.000418387","0.031000000","0.031000000","0.031000000","0.031000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_9","u_dut/kernel_rd_raw_data_q_reg","1","-0.044000000","0.000593840","0.044000000","0.044000000","0.044000000","0.044000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica","u_dut/kernel_rd_raw_data_q_reg","2","-0.112000000","0.001511593","0.088000000","0.024000000","0.088000000","0.088000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/kernel_rd_raw_data_q_reg","26","-1.901000000","0.025656598","0.137000000","0.070000000","0.121000000","0.137000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/kernel_rd_raw_valid_q_reg","1","-0.041000000","0.000553351","0.041000000","0.041000000","0.041000000","0.041000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/lfnst_mem_resp_data_q_reg","9","-0.663000000","0.008948093","0.139000000","0.072000000","0.139000000","0.139000000"
