"normalized_structural_signature","occurrence_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>CARRY8>CARRY8>CARRY8>LUT2>CARRY8>CARRY8>LUT3|FDCE","4","-0.086000000","0.001160688","0.023000000","0.021000000","0.023000000","0.023000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT2>LUT3|FDCE","1","-0.036000000","0.000485869","0.036000000","0.036000000","0.036000000","0.036000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT2>LUT5>LUT6|FDCE","5","-0.164000000","0.002213405","0.049000000","0.032000000","0.049000000","0.049000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT2>LUT6>LUT6|FDCE","3","-0.121000000","0.001633061","0.052000000","0.050000000","0.052000000","0.052000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT2>LUT6|FDCE","8","-0.298000000","0.004021918","0.088000000","0.028000000","0.088000000","0.088000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT3>LUT6|FDCE","2","-0.150000000","0.002024455","0.101000000","0.049000000","0.101000000","0.101000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT4>LUT5|FDRE","3","-0.074000000","0.000998731","0.037000000","0.033000000","0.037000000","0.037000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT4>LUT6|FDRE","1","-0.040000000","0.000539855","0.040000000","0.040000000","0.040000000","0.040000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT5>LUT6|FDCE","1","-0.060000000","0.000809782","0.060000000","0.060000000","0.060000000","0.060000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT5>LUT6|FDRE","2","-0.056000000","0.000755797","0.030000000","0.026000000","0.030000000","0.030000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT5|FDRE","3","-0.049000000","0.000661322","0.023000000","0.015000000","0.023000000","0.023000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT5|RAMD64E","108","-3.712000000","0.050098523","0.084000000","0.029000000","0.080000000","0.084000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6>LUT2>CARRY8>LUT5>LUT3|FDCE","1","-0.118000000","0.001592572","0.118000000","0.118000000","0.118000000","0.118000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6>LUT2>CARRY8>LUT6|FDCE","2","-0.176000000","0.002375361","0.135000000","0.041000000","0.135000000","0.135000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6>LUT3>LUT6>CARRY8>LUT6>LUT6>LUT6|FDCE","1","-0.092000000","0.001241666","0.092000000","0.092000000","0.092000000","0.092000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6>LUT3|FDRE","16","-0.570000000","0.007692931","0.091000000","0.012000000","0.091000000","0.091000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6>LUT6>LUT6|FDCE","10","-0.778000000","0.010500175","0.115000000","0.095000000","0.103000000","0.115000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6>LUT6|FDCE","1","-0.039000000","0.000526358","0.039000000","0.039000000","0.039000000","0.039000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6>LUT6|FDRE","1","-0.016000000","0.000215942","0.016000000","0.016000000","0.016000000","0.016000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6|FDCE","1","-0.038000000","0.000512862","0.038000000","0.038000000","0.038000000","0.038000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT2>LUT6|FDRE","4","-0.144000000","0.001943477","0.075000000","0.023000000","0.075000000","0.075000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT3>LUT6>LUT6|FDCE","2","-0.053000000","0.000715308","0.047000000","0.006000000","0.047000000","0.047000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT5>LUT4>LUT5|FDCE","2","-0.081000000","0.001093206","0.042000000","0.039000000","0.042000000","0.042000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT5>LUT6|FDCE","2","-0.064000000","0.000863768","0.036000000","0.028000000","0.036000000","0.036000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT5|FDRE","1","-0.074000000","0.000998731","0.074000000","0.074000000","0.074000000","0.074000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT5|RAMD64E","64","-2.052000000","0.027694550","0.077000000","0.026000000","0.065000000","0.077000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6>CARRY8>LUT3>LUT6>LUT6|FDRE","11","-1.025000000","0.013833779","0.123000000","0.102000000","0.122000000","0.123000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6>CARRY8>LUT6>LUT6|FDRE","2","-0.145000000","0.001956974","0.117000000","0.028000000","0.117000000","0.117000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6>LUT4>LUT6>LUT5|FDCE","1","-0.112000000","0.001511593","0.112000000","0.112000000","0.112000000","0.112000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6>LUT5>LUT6>LUT6|FDCE","1","-0.012000000","0.000161956","0.012000000","0.012000000","0.012000000","0.012000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6>LUT5|FDCE","5","-0.052000000","0.000701811","0.014000000","0.014000000","0.014000000","0.014000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6>LUT6>LUT6>LUT6|FDCE","3","-0.089000000","0.001201177","0.062000000","0.026000000","0.062000000","0.062000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6>LUT6|FDCE","6","-0.311000000","0.004197371","0.074000000","0.054000000","0.074000000","0.074000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6|FDCE","3","-0.066000000","0.000890760","0.045000000","0.011000000","0.045000000","0.045000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3>LUT6|FDRE","2","-0.034000000","0.000458877","0.017000000","0.017000000","0.017000000","0.017000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT3|RAMD64E","89","-1.620000000","0.021864119","0.064000000","0.017000000","0.029000000","0.064000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>CARRY8>LUT6>LUT6|FDRE","2","-0.166000000","0.002240397","0.089000000","0.077000000","0.089000000","0.089000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT3|RAMD64E","16","-0.584000000","0.007881880","0.066000000","0.007000000","0.066000000","0.066000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT3>LUT2|FDCE","1","-0.046000000","0.000620833","0.046000000","0.046000000","0.046000000","0.046000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT3>LUT3>LUT5|FDCE","4","-0.328000000","0.004426809","0.082000000","0.082000000","0.082000000","0.082000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT3>LUT3>LUT6|FDCE","51","-2.301000000","0.031055146","0.112000000","0.025000000","0.098000000","0.112000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT3>LUT4|FDCE","2","-0.105000000","0.001417119","0.058000000","0.047000000","0.058000000","0.058000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT3>LUT5>LUT6|FDCE","1","-0.029000000","0.000391395","0.029000000","0.029000000","0.029000000","0.029000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT3>LUT5|FDCE","1","-0.101000000","0.001363133","0.101000000","0.101000000","0.101000000","0.101000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT3>LUT6>LUT6|FDCE","2","-0.064000000","0.000863768","0.056000000","0.008000000","0.056000000","0.056000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT3>LUT6|FDCE","4","-0.099000000","0.001336141","0.052000000","0.009000000","0.052000000","0.052000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT4|FDCE","1","-0.028000000","0.000377898","0.028000000","0.028000000","0.028000000","0.028000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT6>LUT3>LUT6>LUT6|FDCE","2","-0.114000000","0.001538586","0.076000000","0.038000000","0.076000000","0.076000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT6>LUT3>LUT6|FDCE","2","-0.029000000","0.000391395","0.022000000","0.007000000","0.022000000","0.022000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT6>LUT4|FDCE","1","-0.003000000","0.000040489","0.003000000","0.003000000","0.003000000","0.003000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT6>LUT5>LUT6|FDCE","8","-0.166000000","0.002240397","0.037000000","0.015000000","0.037000000","0.037000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT6>LUT6>LUT6|FDCE","26","-0.771000000","0.010405701","0.081000000","0.020000000","0.080000000","0.081000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT5>LUT6>LUT6|FDCE","6","-0.333000000","0.004494291","0.119000000","0.045000000","0.119000000","0.119000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT2|FDCE","19","-0.424000000","0.005722461","0.048000000","0.019000000","0.048000000","0.048000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT2>LUT6|FDCE","4","-0.444000000","0.005992388","0.123000000","0.120000000","0.123000000","0.123000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT3>LUT5>LUT4|FDCE","1","-0.004000000","0.000053985","0.004000000","0.004000000","0.004000000","0.004000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT3>LUT6|FDCE","6","-0.040000000","0.000539855","0.009000000","0.009000000","0.009000000","0.009000000"
