"cell_name","family","ref_name","loc","bel","site","site_type","tile","tile_x","tile_y","slr","clock_region","fanout"
"u_dut/u_unified_p4_kernel/ingress_group_q_reg[0]","ingress_group_q_reg","FDCE","SLICE_X72Y118","SLICEL.HFF","SLICE_X72Y118","SLICEL","CLEL_R_X46Y118","251","126","","X2Y1","28"
"u_dut/u_unified_p4_kernel/ingress_group_q_reg[1]","ingress_group_q_reg","FDCE","SLICE_X72Y112","SLICEL.DFF","SLICE_X72Y112","SLICEL","CLEL_R_X46Y112","251","132","","X2Y1","28"
"u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]","ingress_group_q_reg","FDCE","SLICE_X72Y120","SLICEL.HFF","SLICE_X72Y120","SLICEL","CLEL_R_X46Y120","251","123","","X2Y2","13"
"u_dut/u_unified_p4_kernel/ingress_group_q_reg[3]","ingress_group_q_reg","FDCE","SLICE_X72Y110","SLICEL.DFF","SLICE_X72Y110","SLICEL","CLEL_R_X46Y110","251","134","","X2Y1","13"
"u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]","ingress_group_q_reg","FDCE","SLICE_X73Y120","SLICEL.HFF","SLICE_X73Y120","SLICEL","CLEL_R_X47Y120","255","123","","X2Y2","24"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[0]","ingress_data_q_reg","FDRE","SLICE_X69Y131","SLICEL.DFF","SLICE_X69Y131","SLICEL","CLEL_L_X45Y131","244","112","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[10]","ingress_data_q_reg","FDRE","SLICE_X72Y136","SLICEL.CFF","SLICE_X72Y136","SLICEL","CLEL_R_X46Y136","251","107","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[11]","ingress_data_q_reg","FDRE","SLICE_X72Y139","SLICEL.CFF","SLICE_X72Y139","SLICEL","CLEL_R_X46Y139","251","104","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[12]","ingress_data_q_reg","FDRE","SLICE_X69Y138","SLICEL.CFF","SLICE_X69Y138","SLICEL","CLEL_L_X45Y138","244","105","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[13]","ingress_data_q_reg","FDRE","SLICE_X70Y140","SLICEL.AFF","SLICE_X70Y140","SLICEL","CLEL_R_X45Y140","246","103","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[14]","ingress_data_q_reg","FDRE","SLICE_X69Y136","SLICEL.CFF","SLICE_X69Y136","SLICEL","CLEL_L_X45Y136","244","107","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[15]","ingress_data_q_reg","FDRE","SLICE_X72Y140","SLICEL.BFF","SLICE_X72Y140","SLICEL","CLEL_R_X46Y140","251","103","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[16]","ingress_data_q_reg","FDRE","SLICE_X70Y137","SLICEL.DFF","SLICE_X70Y137","SLICEL","CLEL_R_X45Y137","246","106","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[17]","ingress_data_q_reg","FDRE","SLICE_X72Y140","SLICEL.CFF","SLICE_X72Y140","SLICEL","CLEL_R_X46Y140","251","103","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[18]","ingress_data_q_reg","FDRE","SLICE_X68Y134","SLICEL.DFF","SLICE_X68Y134","SLICEL","CLEL_R_X44Y134","243","109","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[19]","ingress_data_q_reg","FDRE","SLICE_X73Y137","SLICEL.DFF","SLICE_X73Y137","SLICEL","CLEL_R_X47Y137","255","106","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[1]","ingress_data_q_reg","FDRE","SLICE_X70Y136","SLICEL.BFF","SLICE_X70Y136","SLICEL","CLEL_R_X45Y136","246","107","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[20]","ingress_data_q_reg","FDRE","SLICE_X65Y143","SLICEL.CFF","SLICE_X65Y143","SLICEL","CLEL_R_X42Y143","234","100","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[21]","ingress_data_q_reg","FDRE","SLICE_X69Y131","SLICEL.CFF","SLICE_X69Y131","SLICEL","CLEL_L_X45Y131","244","112","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[22]","ingress_data_q_reg","FDRE","SLICE_X69Y134","SLICEL.CFF","SLICE_X69Y134","SLICEL","CLEL_L_X45Y134","244","109","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[23]","ingress_data_q_reg","FDRE","SLICE_X72Y132","SLICEL.DFF","SLICE_X72Y132","SLICEL","CLEL_R_X46Y132","251","111","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[24]","ingress_data_q_reg","FDRE","SLICE_X73Y134","SLICEL.CFF","SLICE_X73Y134","SLICEL","CLEL_R_X47Y134","255","109","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[25]","ingress_data_q_reg","FDRE","SLICE_X72Y137","SLICEL.BFF","SLICE_X72Y137","SLICEL","CLEL_R_X46Y137","251","106","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[26]","ingress_data_q_reg","FDRE","SLICE_X72Y140","SLICEL.HFF","SLICE_X72Y140","SLICEL","CLEL_R_X46Y140","251","103","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[27]","ingress_data_q_reg","FDRE","SLICE_X72Y139","SLICEL.DFF","SLICE_X72Y139","SLICEL","CLEL_R_X46Y139","251","104","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[28]","ingress_data_q_reg","FDRE","SLICE_X70Y138","SLICEL.BFF","SLICE_X70Y138","SLICEL","CLEL_R_X45Y138","246","105","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[29]","ingress_data_q_reg","FDRE","SLICE_X73Y139","SLICEL.GFF","SLICE_X73Y139","SLICEL","CLEL_R_X47Y139","255","104","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[2]","ingress_data_q_reg","FDRE","SLICE_X69Y133","SLICEL.CFF","SLICE_X69Y133","SLICEL","CLEL_L_X45Y133","244","110","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[30]","ingress_data_q_reg","FDRE","SLICE_X70Y148","SLICEL.EFF","SLICE_X70Y148","SLICEL","CLEL_R_X45Y148","246","95","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[31]","ingress_data_q_reg","FDRE","SLICE_X69Y135","SLICEL.DFF","SLICE_X69Y135","SLICEL","CLEL_L_X45Y135","244","108","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[32]","ingress_data_q_reg","FDRE","SLICE_X68Y136","SLICEL.DFF","SLICE_X68Y136","SLICEL","CLEL_R_X44Y136","243","107","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[33]","ingress_data_q_reg","FDRE","SLICE_X70Y138","SLICEL.DFF","SLICE_X70Y138","SLICEL","CLEL_R_X45Y138","246","105","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[34]","ingress_data_q_reg","FDRE","SLICE_X69Y133","SLICEL.DFF","SLICE_X69Y133","SLICEL","CLEL_L_X45Y133","244","110","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[35]","ingress_data_q_reg","FDRE","SLICE_X72Y138","SLICEL.BFF","SLICE_X72Y138","SLICEL","CLEL_R_X46Y138","251","105","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[36]","ingress_data_q_reg","FDRE","SLICE_X69Y140","SLICEL.EFF","SLICE_X69Y140","SLICEL","CLEL_L_X45Y140","244","103","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[37]","ingress_data_q_reg","FDRE","SLICE_X72Y141","SLICEL.CFF","SLICE_X72Y141","SLICEL","CLEL_R_X46Y141","251","102","","X2Y2","64"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[38]","ingress_data_q_reg","FDRE","SLICE_X69Y132","SLICEL.DFF","SLICE_X69Y132","SLICEL","CLEL_L_X45Y132","244","111","","X2Y2","64"
