"source_family","startpoint","endpoint","slack","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","start_cell","start_loc","end_cell","end_loc","start_tile","start_tile_x","start_tile_y","end_tile","end_tile_x","end_tile_y"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]/C","u_dut/u_unified_p4_kernel/input_mem_reg[0][12][6]/CE","-0.113","2","0.227","1.617","1.844","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]","SLICE_X72Y120","u_dut/u_unified_p4_kernel/input_mem_reg[0][12][6]","SLICE_X91Y74","CLEL_R_X46Y120","251","123","CLEL_R_X59Y74","306","171"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]/C","u_dut/u_unified_p4_kernel/input_mem_reg[0][12][9]/CE","-0.113","2","0.227","1.617","1.844","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]","SLICE_X72Y120","u_dut/u_unified_p4_kernel/input_mem_reg[0][12][9]","SLICE_X91Y74","CLEL_R_X46Y120","251","123","CLEL_R_X59Y74","306","171"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]/C","u_dut/u_unified_p4_kernel/input_mem_reg[0][15][7]/CE","-0.113","2","0.227","1.617","1.844","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]","SLICE_X72Y120","u_dut/u_unified_p4_kernel/input_mem_reg[0][15][7]","SLICE_X91Y74","CLEL_R_X46Y120","251","123","CLEL_R_X59Y74","306","171"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]/C","u_dut/u_unified_p4_kernel/input_mem_reg[3][12][4]/CE","-0.107","2","0.220","1.622","1.842","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]","SLICE_X72Y120","u_dut/u_unified_p4_kernel/input_mem_reg[3][12][4]","SLICE_X92Y76","CLEL_R_X46Y120","251","123","CLEM_X60Y76","309","169"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]/C","u_dut/u_unified_p4_kernel/input_mem_reg[3][15][9]/CE","-0.107","2","0.220","1.622","1.842","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]","SLICE_X72Y120","u_dut/u_unified_p4_kernel/input_mem_reg[3][15][9]","SLICE_X92Y76","CLEL_R_X46Y120","251","123","CLEM_X60Y76","309","169"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]/C","u_dut/u_unified_p4_kernel/input_mem_reg[3][61][11]/CE","-0.105","2","0.328","1.470","1.798","u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]","SLICE_X73Y120","u_dut/u_unified_p4_kernel/input_mem_reg[3][61][11]","SLICE_X83Y77","CLEL_R_X47Y120","255","123","CLEL_R_X54Y77","285","168"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]/C","u_dut/u_unified_p4_kernel/input_mem_reg[3][61][12]/CE","-0.105","2","0.328","1.470","1.798","u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]","SLICE_X73Y120","u_dut/u_unified_p4_kernel/input_mem_reg[3][61][12]","SLICE_X83Y77","CLEL_R_X47Y120","255","123","CLEL_R_X54Y77","285","168"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]/C","u_dut/u_unified_p4_kernel/input_mem_reg[3][61][13]/CE","-0.105","2","0.328","1.470","1.798","u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]","SLICE_X73Y120","u_dut/u_unified_p4_kernel/input_mem_reg[3][61][13]","SLICE_X83Y77","CLEL_R_X47Y120","255","123","CLEL_R_X54Y77","285","168"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]/C","u_dut/u_unified_p4_kernel/input_mem_reg[3][60][1]/CE","-0.104","2","0.328","1.463","1.791","u_dut/u_unified_p4_kernel/ingress_group_q_reg[4]","SLICE_X73Y120","u_dut/u_unified_p4_kernel/input_mem_reg[3][60][1]","SLICE_X84Y73","CLEL_R_X47Y120","255","123","CLEL_L_X55Y73","286","172"
"ingress_group_q_reg","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]/C","u_dut/u_unified_p4_kernel/input_mem_reg[3][14][7]/CE","-0.103","2","0.220","1.629","1.849","u_dut/u_unified_p4_kernel/ingress_group_q_reg[2]","SLICE_X72Y120","u_dut/u_unified_p4_kernel/input_mem_reg[3][14][7]","SLICE_X96Y84","CLEL_R_X46Y120","251","123","CLEM_X63Y84","322","161"
