family,cell_count,unique_site_count,unique_tile_count,tile_bbox,fanout_median,fanout_p90,fanout_max
fill_wr_cmd_addr_q_reg,10,8,8,"{""coordinate_count"": 10, ""x_max"": 246, ""x_min"": 222, ""y_max"": 119, ""y_min"": 104}",16.0,16.0,16.0
ingress_data_q_reg,64,35,35,"{""coordinate_count"": 64, ""x_max"": 255, ""x_min"": 234, ""y_max"": 114, ""y_min"": 95}",64.0,64.0,64.0
ingress_group_q_reg,5,5,5,"{""coordinate_count"": 5, ""x_max"": 255, ""x_min"": 251, ""y_max"": 134, ""y_min"": 123}",24.0,28.0,28.0
input_cache_bank,104,47,47,"{""coordinate_count"": 104, ""x_max"": 297, ""x_min"": 241, ""y_max"": 113, ""y_min"": 81}",,,
input_mem_reg,4032,974,974,"{""coordinate_count"": 4032, ""x_max"": 329, ""x_min"": 186, ""y_max"": 174, ""y_min"": 120}",,,
kernel_h_rd_addr_q_reg,50,24,24,"{""coordinate_count"": 50, ""x_max"": 264, ""x_min"": 222, ""y_max"": 137, ""y_min"": 105}",,,
kernel_h_rd_data_q_reg,64,22,22,"{""coordinate_count"": 64, ""x_max"": 251, ""x_min"": 232, ""y_max"": 122, ""y_min"": 115}",,,
kernel_rd_raw_data_q_reg,64,53,53,"{""coordinate_count"": 64, ""x_max"": 293, ""x_min"": 262, ""y_max"": 128, ""y_min"": 100}",,,
kernel_run_q_reg,1,1,1,"{""coordinate_count"": 1, ""x_max"": 244, ""x_min"": 244, ""y_max"": 92, ""y_min"": 92}",39.0,39.0,39.0
lfnst_grid_reg,1024,313,313,"{""coordinate_count"": 1024, ""x_max"": 244, ""x_min"": 198, ""y_max"": 99, ""y_min"": 70}",,,
rd_cmd_addr_q_reg,174,87,87,"{""coordinate_count"": 174, ""x_max"": 297, ""x_min"": 244, ""y_max"": 128, ""y_min"": 94}",,,
result_bank,110,53,53,"{""coordinate_count"": 110, ""x_max"": 251, ""x_min"": 207, ""y_max"": 158, ""y_min"": 68}",,,
result_cmd_slot_q_reg,1,1,1,"{""coordinate_count"": 1, ""x_max"": 231, ""x_min"": 231, ""y_max"": 99, ""y_min"": 99}",,,
result_cmd_valid_q_reg,1,1,1,"{""coordinate_count"": 1, ""x_max"": 231, ""x_min"": 231, ""y_max"": 100, ""y_min"": 100}",,,
vwrite_cmd_data_q_reg,64,35,35,"{""coordinate_count"": 64, ""x_max"": 255, ""x_min"": 243, ""y_max"": 76, ""y_min"": 65}",,,
