"site","site_type","tile","tile_x","tile_y","clock_region","legal_ff_bel_count","legal_lut_bel_count","occupied_cell_count","occupied_ff_count","occupied_lut_count","occupied_control_sets","occupied_cells"
"SLICE_X40Y135","SLICEL","CLEL_L_X26Y135","162","108","X1Y2","16","16","0","0","0","",""
"SLICE_X41Y135","SLICEL","CLEL_R_X26Y135","164","108","X1Y2","16","16","0","0","0","",""
"SLICE_X42Y135","SLICEM","CLEM_X27Y135","167","108","X1Y2","16","16","0","0","0","",""
"SLICE_X43Y135","SLICEL","CLEL_R_X28Y135","174","108","X1Y2","16","16","0","0","0","",""
"SLICE_X44Y135","SLICEM","CLEM_X29Y135","177","108","X1Y2","16","16","0","0","0","",""
"SLICE_X45Y135","SLICEL","CLEL_R_X29Y135","179","108","X1Y2","16","16","0","0","0","",""
"SLICE_X46Y135","SLICEL","CLEL_L_X30Y135","180","108","X1Y2","16","16","0","0","0","",""
"SLICE_X47Y135","SLICEL","CLEL_R_X30Y135","182","108","X1Y2","16","16","0","0","0","",""
"SLICE_X48Y135","SLICEL","CLEL_R_X31Y135","186","108","X1Y2","16","16","0","0","0","",""
"SLICE_X49Y135","SLICEM","CLEM_X32Y135","189","108","X1Y2","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s1_valid_q_repN_22|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X50Y135","SLICEM","CLEM_X33Y135","193","108","X1Y2","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s2_valid_q_repN_6|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X51Y135","SLICEL","CLEL_R_X33Y135","195","108","X1Y2","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s2_valid_q_repN_6|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X52Y135","SLICEM","CLEM_X34Y135","198","108","X1Y2","16","16","18","9","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s1_valid_q_repN_26|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__25_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;;"
"SLICE_X53Y135","SLICEM","CLEM_X35Y135","202","108","X1Y2","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s3_valid_q_repN_2|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X54Y135","SLICEL","CLEL_R_X35Y135","204","108","X1Y2","16","16","0","0","0","",""
"SLICE_X55Y135","SLICEM","CLEM_X36Y135","207","108","X1Y2","16","16","8","0","0","",";;;;;;;"
"SLICE_X56Y135","SLICEM","CLEM_X37Y135","211","108","X2Y2","16","16","8","0","0","",";;;;;;;"
"SLICE_X57Y135","SLICEL","CLEL_R_X37Y135","213","108","X2Y2","16","16","7","0","7","",";;;;;;"
"SLICE_X58Y135","SLICEM","CLEM_X38Y135","216","108","X2Y2","16","16","8","0","0","",";;;;;;;"
"SLICE_X59Y135","SLICEL","CLEL_R_X38Y135","218","108","X2Y2","16","16","21","12","9","u_dut/clk|u_dut/p_163_in|u_dut/rst_n;u_dut/clk|u_dut/output_index[11]_i_1_n_0|u_dut/rst_n",";;;;;;;;;;;;;;;;;;;;"
"SLICE_X60Y135","SLICEL","CLEL_R_X39Y135","222","108","X2Y2","16","16","10","0","7","",";;;;;;;;;"
"SLICE_X61Y135","SLICEM","CLEM_X40Y135","225","108","X2Y2","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s1_valid_q_repN_25|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X62Y135","SLICEM","CLEM_X41Y135","229","108","X2Y2","16","16","8","0","0","",";;;;;;;"
"SLICE_X63Y135","SLICEL","CLEL_R_X41Y135","231","108","X2Y2","16","16","13","2","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__25_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/clk|u_dut/kernel_h_groups_per_row_q[0]|u_dut/rst_n",";;;;;;;;;;;;"
"SLICE_X64Y135","SLICEL","CLEL_L_X42Y135","232","108","X2Y2","16","16","9","1","8","u_dut/clk|u_dut/input_fire|u_dut/rst_n",";;;;;;;;"
"SLICE_X65Y135","SLICEL","CLEL_R_X42Y135","234","108","X2Y2","16","16","10","2","8","u_dut/clk|u_dut/slot_output_last_index[0][10]_i_1_n_0|u_dut/rst_n;u_dut/clk|u_dut/bind_slot16_out|u_dut/rst_n",";;;;;;;;;"
"SLICE_X66Y135","SLICEM","CLEM_X43Y135","237","108","X2Y2","16","16","8","0","0","",";;;;;;;"
"SLICE_X67Y135","SLICEM","CLEM_X44Y135","241","108","X2Y2","16","16","8","0","0","",";;;;;;;"
"SLICE_X68Y135","SLICEL","CLEL_R_X44Y135","243","108","X2Y2","16","16","13","3","9","u_dut/clk|u_dut/p_163_in|u_dut/rst_n",";;;;;;;;;;;;"
"SLICE_X69Y135","SLICEL","CLEL_L_X45Y135","244","108","X2Y2","16","16","11","3","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_group_fire|u_dut/u_unified_p4_kernel/<const0>;u_dut/clk|u_dut/kernel_h_rd_addr_q[0]|u_dut/rst_n;u_dut/clk|u_dut/rd_cmd_addr_q[0]|u_dut/rst_n",";;;;;;;;;;"
"SLICE_X70Y135","SLICEL","CLEL_R_X45Y135","246","108","X2Y2","16","16","10","2","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_group_fire|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;"
"SLICE_X71Y135","SLICEM","CLEM_X46Y135","249","108","X2Y2","16","16","8","0","0","",";;;;;;;"
"SLICE_X72Y135","SLICEL","CLEL_R_X46Y135","251","108","X2Y2","16","16","9","3","6","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_group_fire|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;"
"SLICE_X73Y135","SLICEL","CLEL_R_X47Y135","255","108","X2Y2","16","16","14","4","8","u_dut/u_bounded_lfnst_engine/clk|u_dut/u_bounded_lfnst_engine/coeff_bundle_q[0]|u_dut/u_bounded_lfnst_engine/rst_n;u_dut/clk|u_dut/p_163_in|u_dut/rst_n;u_dut/clk|u_dut/rd_cmd_addr_q[0]|u_dut/rst_n",";;;;;;;;;;;;;"
"SLICE_X74Y135","SLICEM","CLEM_X48Y135","258","108","X2Y2","16","16","8","0","0","",";;;;;;;"
