bit,path_count,failing_count,passing_count,median_x,median_y,x2y1_count,x3y1_count,other_region_count
0,64,2,62,91.0,88.5,0,2,0
1,64,4,60,86.5,81.0,4,0,0
2,64,12,52,91.0,101.0,2,10,0
3,64,5,59,79.0,81.0,3,2,0
4,64,0,64,,,0,0,0
5,64,1,63,76.0,78.0,1,0,0
6,64,0,64,,,0,0,0
7,64,1,63,86.0,81.0,1,0,0
8,64,11,53,90.0,77.0,5,6,0
9,64,2,62,89.5,92.0,1,1,0
10,64,1,63,92.0,89.0,0,1,0
11,64,2,62,73.5,95.0,2,0,0
12,64,0,64,,,0,0,0
13,64,2,62,93.5,104.0,0,2,0
14,64,3,61,72.0,79.0,3,0,0
15,64,15,49,90.0,82.0,3,12,0
16,64,4,60,84.5,78.0,4,0,0
17,64,1,63,67.0,99.0,1,0,0
18,64,0,64,,,0,0,0
19,64,1,63,86.0,91.0,1,0,0
20,64,0,64,,,0,0,0
21,64,0,64,,,0,0,0
22,64,0,64,,,0,0,0
23,64,0,64,,,0,0,0
24,64,2,62,91.0,83.0,0,2,0
25,64,3,61,89.0,85.0,3,0,0
26,64,3,61,93.0,88.0,1,2,0
27,64,1,63,95.0,95.0,0,1,0
28,64,5,59,83.0,76.0,5,0,0
29,64,2,62,91.0,81.5,1,1,0
30,64,1,63,97.0,107.0,0,1,0
31,64,0,64,,,0,0,0
32,64,4,60,87.0,94.0,2,2,0
33,64,3,61,91.0,113.0,0,3,0
34,64,4,60,92.0,84.5,1,3,0
35,64,0,64,,,0,0,0
36,64,0,64,,,0,0,0
37,64,0,64,,,0,0,0
38,64,0,64,,,0,0,0
39,64,2,62,91.5,99.5,0,2,0
40,64,2,62,90.0,100.5,1,1,0
41,64,10,54,93.0,88.5,2,8,0
42,64,6,58,77.5,79.0,6,0,0
43,64,3,61,89.0,88.0,2,1,0
44,64,1,63,89.0,93.0,1,0,0
45,64,1,63,75.0,74.0,1,0,0
46,64,15,49,90.0,85.0,7,8,0
47,64,6,58,88.5,86.5,4,2,0
48,60,4,56,68.5,71.0,4,0,0
49,60,19,41,94.0,90.0,8,11,0
50,60,1,59,98.0,94.0,0,1,0
51,60,12,48,94.0,98.0,2,10,0
52,60,0,60,,,0,0,0
53,60,0,60,,,0,0,0
54,60,4,56,52.0,105.5,1,0,3
55,60,0,60,,,0,0,0
56,60,5,55,86.0,80.0,5,0,0
57,60,3,57,88.0,78.0,2,1,0
58,60,0,60,,,0,0,0
59,60,1,59,69.0,73.0,1,0,0
60,60,8,52,93.0,95.5,0,8,0
61,60,2,58,94.0,85.0,0,2,0
62,60,1,59,86.0,90.0,1,0,0
63,60,0,60,,,0,0,0

