"cell_name","bit_index","ref_name","loc","bel","site","site_type","tile","tile_x","tile_y","clock_region","fanout","d_pin"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[0]","0","FDRE","SLICE_X69Y131","SLICEL.DFF","SLICE_X69Y131","SLICEL","CLEL_L_X45Y131","244","112","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[0]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[10]","10","FDRE","SLICE_X72Y136","SLICEL.CFF","SLICE_X72Y136","SLICEL","CLEL_R_X46Y136","251","107","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[10]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[11]","11","FDRE","SLICE_X72Y139","SLICEL.CFF","SLICE_X72Y139","SLICEL","CLEL_R_X46Y139","251","104","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[11]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[12]","12","FDRE","SLICE_X69Y138","SLICEL.CFF","SLICE_X69Y138","SLICEL","CLEL_L_X45Y138","244","105","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[12]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[13]","13","FDRE","SLICE_X70Y140","SLICEL.AFF","SLICE_X70Y140","SLICEL","CLEL_R_X45Y140","246","103","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[13]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[14]","14","FDRE","SLICE_X69Y136","SLICEL.CFF","SLICE_X69Y136","SLICEL","CLEL_L_X45Y136","244","107","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[14]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[15]","15","FDRE","SLICE_X72Y140","SLICEL.BFF","SLICE_X72Y140","SLICEL","CLEL_R_X46Y140","251","103","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[15]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[16]","16","FDRE","SLICE_X70Y137","SLICEL.DFF","SLICE_X70Y137","SLICEL","CLEL_R_X45Y137","246","106","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[16]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[17]","17","FDRE","SLICE_X72Y140","SLICEL.CFF","SLICE_X72Y140","SLICEL","CLEL_R_X46Y140","251","103","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[17]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[18]","18","FDRE","SLICE_X68Y134","SLICEL.DFF","SLICE_X68Y134","SLICEL","CLEL_R_X44Y134","243","109","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[18]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[19]","19","FDRE","SLICE_X73Y137","SLICEL.DFF","SLICE_X73Y137","SLICEL","CLEL_R_X47Y137","255","106","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[19]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[1]","1","FDRE","SLICE_X70Y136","SLICEL.BFF","SLICE_X70Y136","SLICEL","CLEL_R_X45Y136","246","107","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[1]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[20]","20","FDRE","SLICE_X65Y143","SLICEL.CFF","SLICE_X65Y143","SLICEL","CLEL_R_X42Y143","234","100","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[20]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[21]","21","FDRE","SLICE_X69Y131","SLICEL.CFF","SLICE_X69Y131","SLICEL","CLEL_L_X45Y131","244","112","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[21]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[22]","22","FDRE","SLICE_X69Y134","SLICEL.CFF","SLICE_X69Y134","SLICEL","CLEL_L_X45Y134","244","109","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[22]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[23]","23","FDRE","SLICE_X72Y132","SLICEL.DFF","SLICE_X72Y132","SLICEL","CLEL_R_X46Y132","251","111","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[23]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[24]","24","FDRE","SLICE_X73Y134","SLICEL.CFF","SLICE_X73Y134","SLICEL","CLEL_R_X47Y134","255","109","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[24]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[25]","25","FDRE","SLICE_X72Y137","SLICEL.BFF","SLICE_X72Y137","SLICEL","CLEL_R_X46Y137","251","106","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[25]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[26]","26","FDRE","SLICE_X72Y140","SLICEL.HFF","SLICE_X72Y140","SLICEL","CLEL_R_X46Y140","251","103","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[26]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[27]","27","FDRE","SLICE_X72Y139","SLICEL.DFF","SLICE_X72Y139","SLICEL","CLEL_R_X46Y139","251","104","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[27]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[28]","28","FDRE","SLICE_X70Y138","SLICEL.BFF","SLICE_X70Y138","SLICEL","CLEL_R_X45Y138","246","105","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[28]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[29]","29","FDRE","SLICE_X73Y139","SLICEL.GFF","SLICE_X73Y139","SLICEL","CLEL_R_X47Y139","255","104","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[29]/D"
