"ingress_bit","endpoint_d","startpoint","slack","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","start_cell","start_loc","start_site","start_tile","start_tile_x","start_tile_y","start_clock_region","end_cell","end_loc","end_site","end_tile","end_tile_x","end_tile_y","end_clock_region","source_family"
"0","u_dut/u_unified_p4_kernel/ingress_data_q_reg[0]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.119","5","0.488","1.563","2.051","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[0]","SLICE_X69Y131","SLICE_X69Y131","CLEL_L_X45Y131","244","112","X2Y2","kernel_vector"
"10","u_dut/u_unified_p4_kernel/ingress_data_q_reg[10]/D","u_dut/kernel_stage_q_reg/C","-0.079","6","0.579","1.369","1.948","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[10]","SLICE_X72Y136","SLICE_X72Y136","CLEL_R_X46Y136","251","107","X2Y2","kernel_stage"
"11","u_dut/u_unified_p4_kernel/ingress_data_q_reg[11]/D","u_dut/kernel_stage_q_reg/C","-0.123","6","0.582","1.452","2.034","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[11]","SLICE_X72Y139","SLICE_X72Y139","CLEL_R_X46Y139","251","104","X2Y2","kernel_stage"
"12","u_dut/u_unified_p4_kernel/ingress_data_q_reg[12]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.096","5","0.583","1.379","1.962","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[12]","SLICE_X69Y138","SLICE_X69Y138","CLEL_L_X45Y138","244","105","X2Y2","kernel_vector"
"13","u_dut/u_unified_p4_kernel/ingress_data_q_reg[13]/D","u_dut/kernel_vector_q_reg[2]/C","-0.066","4","0.426","1.531","1.957","u_dut/kernel_vector_q_reg[2]","SLICE_X68Y157","SLICE_X68Y157","CLEL_R_X44Y157","243","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[13]","SLICE_X70Y140","SLICE_X70Y140","CLEL_R_X45Y140","246","103","X2Y2","kernel_vector"
"14","u_dut/u_unified_p4_kernel/ingress_data_q_reg[14]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.091","5","0.520","1.504","2.024","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[14]","SLICE_X69Y136","SLICE_X69Y136","CLEL_L_X45Y136","244","107","X2Y2","kernel_vector"
"15","u_dut/u_unified_p4_kernel/ingress_data_q_reg[15]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.068","5","0.507","1.530","2.037","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[15]","SLICE_X72Y140","SLICE_X72Y140","CLEL_R_X46Y140","251","103","X2Y2","kernel_vector"
"16","u_dut/u_unified_p4_kernel/ingress_data_q_reg[16]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.093","5","0.367","1.655","2.022","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[16]","SLICE_X70Y137","SLICE_X70Y137","CLEL_R_X45Y137","246","106","X2Y2","kernel_vector"
"17","u_dut/u_unified_p4_kernel/ingress_data_q_reg[17]/D","u_dut/kernel_vector_q_reg[0]_rep__0/C","-0.112","5","0.407","1.674","2.081","u_dut/kernel_vector_q_reg[0]_rep__0","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[17]","SLICE_X72Y140","SLICE_X72Y140","CLEL_R_X46Y140","251","103","X2Y2","kernel_vector"
"18","u_dut/u_unified_p4_kernel/ingress_data_q_reg[18]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.031","5","0.431","1.488","1.919","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[18]","SLICE_X68Y134","SLICE_X68Y134","CLEL_R_X44Y134","243","109","X2Y2","kernel_vector"
