candidate_id,anchor_x,anchor_y,region_x_min,region_x_max,region_y_min,region_y_max,candidate_tile_x,candidate_tile_y,coverage_ratio,site_count,legal_ff_capacity,available_ff_capacity,occupied_ff,projected_ff_utilization,clock_regions,control_set_data_available,control_set_compatibility,local_congestion,candidate_clock_region_crossing_count,subset_id,moved_bit_count,bit_list_sha256,basic_geometry_pass,basic_rejection_reason,pareto_frontier,tradeoff_proxy_pass,tradeoff_rejection_reason,safety_gate_rejection_reason,u_neg_no_worsening_proxy,u_pass_no_increase_proxy,d_neg_improves_proxy,d_near_nonworsening_proxy,objective_vector,u_neg_count,u_neg_min,u_neg_median,u_neg_p90,u_neg_p95,u_neg_max,u_neg_sum,u_neg_decrease_count,u_neg_increase_count,u_neg_unchanged_count,u_neg_current_slack_count,u_neg_current_slack_min,u_neg_current_slack_median,u_neg_current_slack_p90,u_neg_current_slack_p95,u_neg_current_slack_max,u_neg_current_slack_sum,u_pass_count,u_pass_min,u_pass_median,u_pass_p90,u_pass_p95,u_pass_max,u_pass_sum,u_pass_decrease_count,u_pass_increase_count,u_pass_unchanged_count,u_pass_current_slack_count,u_pass_current_slack_min,u_pass_current_slack_median,u_pass_current_slack_p90,u_pass_current_slack_p95,u_pass_current_slack_max,u_pass_current_slack_sum,d_neg_count,d_neg_min,d_neg_median,d_neg_p90,d_neg_p95,d_neg_max,d_neg_sum,d_neg_decrease_count,d_neg_increase_count,d_neg_unchanged_count,d_neg_current_slack_count,d_neg_current_slack_min,d_neg_current_slack_median,d_neg_current_slack_p90,d_neg_current_slack_p95,d_neg_current_slack_max,d_neg_current_slack_sum,d_near_count,d_near_min,d_near_median,d_near_p90,d_near_p95,d_near_max,d_near_sum,d_near_decrease_count,d_near_increase_count,d_near_unchanged_count,d_near_current_slack_count,d_near_current_slack_min,d_near_current_slack_median,d_near_current_slack_p90,d_near_current_slack_p95,d_near_current_slack_max,d_near_current_slack_sum,d_all_count,d_all_min,d_all_median,d_all_p90,d_all_p95,d_all_max,d_all_sum,d_all_decrease_count,d_all_increase_count,d_all_unchanged_count,d_all_current_slack_count,d_all_current_slack_min,d_all_current_slack_median,d_all_current_slack_p90,d_all_current_slack_p95,d_all_current_slack_max,d_all_current_slack_sum
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,13200,9951,3249,0.2509848484848485,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,64,ALL_64,64,A49D88051B2D2E5D1255D4F806A7569CDA9B33A650A908566197031349AD8DB4,True,,False,False,U_NEG_UPSTREAM_WORSENING;U_PASS_UPSTREAM_INCREASE,,False,False,True,True,"[66.5, 88.0, 58.0, 6.0, -5.0, 39.0, -5.0, -6.0, 64.0]",58,38.0,66.5,88.0,88.0,96.0,4077.0,0,58,0,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,50.0,77.0,88.0,88.0,88.0,440.0,0,6,0,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-90.0,-5.0,39.0,43.0,58.0,-87.0,114,83,4,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-97.0,-5.0,35.0,43.0,58.0,-1562.0,215,165,4,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-101.0,-6.0,39.0,45.0,62.0,-27714.0,2254,1745,33,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,13200,9951,3249,0.2478030303030303,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,22,DEST_X2Y1_MAJOR,22,EC8295A18CFB3214990035A3C2A8A03B2248BEA56069D816345F1D2C0CC4741A,True,,False,False,U_NEG_UPSTREAM_WORSENING;D_NEG_NO_MEDIAN_IMPROVEMENT,,False,True,False,True,"[0.0, 74.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0]",58,0.0,0.0,74.0,88.0,88.0,1519.0,0,22,36,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-90.0,0.0,0.0,7.0,44.0,-857.0,51,14,136,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-97.0,0.0,7.0,17.0,51.0,-1459.0,89,52,243,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-101.0,0.0,16.0,33.0,57.0,-11250.0,812,569,2651,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,13200,9951,3249,0.24765151515151515,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,20,DEST_X3Y1_MAJOR,20,D8DF451BC1C4EF6032E28F4D3065B488CCF48FA9921667AB64B2E0E8D05D4049,True,,False,False,U_NEG_UPSTREAM_WORSENING;U_PASS_UPSTREAM_INCREASE;D_NEG_NO_MEDIAN_IMPROVEMENT,,False,False,False,True,"[0.0, 80.0, 15.0, 5.0, 0.0, 33.0, 0.0, 0.0, 20.0]",58,0.0,0.0,80.0,88.0,96.0,1093.0,0,15,43,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,0.0,65.5,88.0,88.0,88.0,357.0,0,5,1,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-31.0,0.0,33.0,42.0,58.0,680.0,60,62,79,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-94.0,0.0,22.0,37.0,58.0,354.0,82,84,218,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-101.0,0.0,14.0,31.0,62.0,-8422.0,696,547,2789,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,13200,9951,3249,0.2478030303030303,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,22,DEST_MIXED_OR_OTHER,22,62A80A6BF2780309EBB7ACB65499DC33F9E420F49ABAF670FF853CD53D650A7D,True,,False,False,U_NEG_UPSTREAM_WORSENING;U_PASS_UPSTREAM_INCREASE;D_NEG_NO_MEDIAN_IMPROVEMENT,,False,False,False,True,"[0.0, 78.0, 21.0, 1.0, 0.0, 0.0, 0.0, 0.0, 22.0]",58,0.0,0.0,78.0,88.0,91.0,1465.0,0,21,37,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,0.0,0.0,83.0,83.0,83.0,83.0,0,1,5,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-23.0,0.0,0.0,0.0,47.0,90.0,3,7,191,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-91.0,0.0,0.0,9.0,51.0,-457.0,44,29,311,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-101.0,0.0,18.0,33.0,58.0,-8042.0,746,629,2657,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,13200,9951,3249,0.24734848484848485,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,16,FEATURE_BIN_0,16,25AFEB422DB3BDBEF4DCE97A6D1274116E7B27A3B94E395D479DC22D3DE14FFD,True,,False,False,U_NEG_UPSTREAM_WORSENING;D_NEG_NO_MEDIAN_IMPROVEMENT,,False,True,False,True,"[0.0, 69.0, 16.0, 0.0, 0.0, 10.0, 0.0, 0.0, 16.0]",58,0.0,0.0,69.0,78.0,88.0,1091.0,0,16,42,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-59.0,0.0,10.0,32.0,44.0,12.0,36,27,138,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-80.0,0.0,0.0,11.0,47.0,-822.0,65,31,288,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-97.0,0.0,5.0,24.0,49.0,-7238.0,585,423,3024,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,13200,9951,3249,0.24734848484848485,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,16,FEATURE_BIN_1,16,863B9B0389C1B994C73ED0C57EC56A84FD6D317708E59D47B391DA86E44D3A8E,True,,False,False,U_NEG_UPSTREAM_WORSENING;U_PASS_UPSTREAM_INCREASE;D_NEG_NO_MEDIAN_IMPROVEMENT,,False,False,False,True,"[0.0, 80.0, 14.0, 2.0, 0.0, 0.0, 0.0, 0.0, 16.0]",58,0.0,0.0,80.0,88.0,96.0,1018.0,0,14,44,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,0.0,0.0,88.0,88.0,88.0,159.0,0,2,4,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-90.0,0.0,0.0,18.0,47.0,-358.0,31,16,154,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-90.0,0.0,7.0,29.0,47.0,-143.0,53,51,280,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-99.0,0.0,1.0,24.0,54.0,-8460.0,588,418,3026,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,13200,9951,3249,0.24734848484848485,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,16,FEATURE_BIN_2,16,18F6AC63D50EACD2B5F6CC669CA58252595A0313B759D7A0EC563D4D8CFF4410,True,,False,False,U_NEG_UPSTREAM_WORSENING;U_PASS_UPSTREAM_INCREASE;D_NEG_NO_MEDIAN_IMPROVEMENT,,False,False,False,True,"[0.0, 71.0, 14.0, 2.0, 0.0, 15.0, 0.0, 0.0, 16.0]",58,0.0,0.0,71.0,88.0,88.0,986.0,0,14,44,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,0.0,0.0,88.0,88.0,88.0,148.0,0,2,4,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-57.0,0.0,15.0,20.0,45.0,119.0,29,26,146,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-94.0,0.0,0.0,18.0,46.0,-567.0,52,30,302,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-101.0,0.0,2.0,25.0,55.0,-8224.0,581,418,3033,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,13200,9951,3249,0.24734848484848485,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,16,FEATURE_BIN_3,16,6D6B2605916DFCDD525A27838AC825D18C62B807369D6E6322040D77ED73CF54,True,,False,False,U_NEG_UPSTREAM_WORSENING;U_PASS_UPSTREAM_INCREASE;D_NEG_NO_MEDIAN_IMPROVEMENT,,False,False,False,True,"[0.0, 72.0, 14.0, 2.0, 0.0, 0.0, 0.0, 0.0, 16.0]",58,0.0,0.0,72.0,88.0,88.0,982.0,0,14,44,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,0.0,0.0,83.0,83.0,83.0,133.0,0,2,4,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-33.0,0.0,0.0,13.0,58.0,140.0,18,14,169,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-97.0,0.0,11.0,24.0,58.0,-30.0,45,53,286,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-101.0,0.0,9.0,30.0,62.0,-3792.0,500,486,3046,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y080,56,80,44,68,64,96,211.0,165.0,1.0,825,13200,9698,3502,0.27015151515151514,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,64,ALL_64,64,A49D88051B2D2E5D1255D4F806A7569CDA9B33A650A908566197031349AD8DB4,True,,False,False,U_NEG_UPSTREAM_WORSENING;U_PASS_UPSTREAM_INCREASE,,False,False,True,True,"[62.5, 84.0, 58.0, 6.0, -9.0, 35.0, -9.0, -10.0, 64.0]",58,34.0,62.5,84.0,84.0,92.0,3845.0,0,58,0,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,46.0,73.0,84.0,84.0,84.0,416.0,0,6,0,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-92.0,-9.0,35.0,39.0,54.0,-575.0,124,76,1,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-99.0,-9.0,31.0,39.0,54.0,-2368.0,242,142,0,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-103.0,-10.0,35.0,41.0,58.0,-39026.0,2404,1606,22,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
A_X056_Y080,56,80,44,68,64,96,211.0,165.0,1.0,825,13200,9698,3502,0.26696969696969697,"{""X1Y1"": 396, ""X2Y1"": 429}",True,NOT_PROVEN_WITHOUT_MOVED_FF_CONTROL_SET_REPLAY,NOT_PROVEN_READ_ONLY_SITE_INVENTORY_ONLY,22,DEST_X2Y1_MAJOR,22,EC8295A18CFB3214990035A3C2A8A03B2248BEA56069D816345F1D2C0CC4741A,True,,False,False,U_NEG_UPSTREAM_WORSENING;D_NEG_NO_MEDIAN_IMPROVEMENT,,False,True,False,True,"[0.0, 70.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0]",58,0.0,0.0,70.0,84.0,84.0,1431.0,0,22,36,58,-0.136,-0.0885,-0.043,-0.028,-0.017,-4.796,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,6,0.011,0.040999999999999995,0.066,0.066,0.066,0.241,201,-92.0,0.0,0.0,3.0,40.0,-965.0,53,12,136,201,-0.133,-0.038,-0.006,-0.003,-0.001,-7.99,384,-99.0,0.0,3.0,13.0,47.0,-1779.0,101,41,242,384,0.0,0.043,0.07,0.074,0.078,15.882,4032,-101.0,0.0,12.0,29.0,53.0,-15206.0,858,520,2654,4032,-0.133,0.357,0.894,1.023,1.334,1673.434
