candidate_id,anchor_x,anchor_y,region_x_min,region_x_max,region_y_min,region_y_max,candidate_tile_x,candidate_tile_y,coverage_ratio,site_count,clock_regions,legal_ff_capacity,available_ff_capacity,occupied_ff,projected_ff_utilization,basic_geometry_pass,basic_rejection_reason
A_X056_Y076,56,76,44,68,60,92,211.0,169.0,1.0,825,"{""X1Y1"": 396, ""X2Y1"": 429}",13200,9951,3249,0.2509848484848485,True,
A_X056_Y080,56,80,44,68,64,96,211.0,165.0,1.0,825,"{""X1Y1"": 396, ""X2Y1"": 429}",13200,9698,3502,0.27015151515151514,True,
A_X056_Y084,56,84,44,68,68,100,211.0,161.0,1.0,825,"{""X1Y1"": 396, ""X2Y1"": 429}",13200,9646,3554,0.2740909090909091,True,
A_X056_Y088,56,88,44,68,72,104,211.0,157.0,1.0,825,"{""X1Y1"": 396, ""X2Y1"": 429}",13200,9475,3725,0.28704545454545455,True,
A_X056_Y092,56,92,44,68,76,108,211.0,152.0,1.0,825,"{""X1Y1"": 396, ""X2Y1"": 429}",13200,9437,3763,0.2899242424242424,True,
A_X056_Y096,56,96,44,68,80,112,211.0,148.0,1.0,825,"{""X1Y1"": 396, ""X2Y1"": 429}",13200,9367,3833,0.2952272727272727,True,
A_X056_Y100,56,100,44,68,84,116,211.0,144.0,1.0,825,"{""X1Y1"": 396, ""X2Y1"": 429}",13200,9223,3977,0.30613636363636365,True,
A_X056_Y104,56,104,44,68,88,120,211.0,140.0,1.0,825,"{""X1Y1"": 384, ""X1Y2"": 12, ""X2Y1"": 416, ""X2Y2"": 13}",13200,9312,3888,0.2993939393939394,True,
A_X056_Y108,56,108,44,68,92,124,211.0,136.0,1.0,825,"{""X1Y1"": 336, ""X1Y2"": 60, ""X2Y1"": 364, ""X2Y2"": 65}",13200,9457,3743,0.2884090909090909,True,
A_X056_Y112,56,112,44,68,96,128,211.0,132.0,1.0,825,"{""X1Y1"": 288, ""X1Y2"": 108, ""X2Y1"": 312, ""X2Y2"": 117}",13200,9536,3664,0.2824242424242424,True,
A_X056_Y116,56,116,44,68,100,132,211.0,128.0,1.0,825,"{""X1Y1"": 240, ""X1Y2"": 156, ""X2Y1"": 260, ""X2Y2"": 169}",13200,9590,3610,0.2783333333333333,True,
A_X060_Y076,60,76,48,72,60,92,222.0,169.0,1.0,825,"{""X1Y1"": 264, ""X2Y1"": 561}",13200,9749,3451,0.2662878787878788,True,
A_X060_Y080,60,80,48,72,64,96,222.0,165.0,1.0,825,"{""X1Y1"": 264, ""X2Y1"": 561}",13200,9433,3767,0.2902272727272727,True,
A_X060_Y084,60,84,48,72,68,100,222.0,161.0,1.0,825,"{""X1Y1"": 264, ""X2Y1"": 561}",13200,9311,3889,0.299469696969697,True,
A_X060_Y088,60,88,48,72,72,104,222.0,157.0,1.0,825,"{""X1Y1"": 264, ""X2Y1"": 561}",13200,9166,4034,0.3104545454545454,True,
A_X060_Y092,60,92,48,72,76,108,222.0,152.0,1.0,825,"{""X1Y1"": 264, ""X2Y1"": 561}",13200,9162,4038,0.31075757575757573,True,
A_X060_Y096,60,96,48,72,80,112,222.0,148.0,1.0,825,"{""X1Y1"": 264, ""X2Y1"": 561}",13200,9062,4138,0.31833333333333336,True,
