bit,producer_tile_x,producer_tile_y,producer_clock_region,upstream_source_tile_x,upstream_source_tile_y,upstream_slack,upstream_source_family,downstream_path_count,downstream_failing_count,x2y1_count,x3y1_count,downstream_fail_median_x,downstream_fail_median_y,downstream_all_median_x,downstream_all_median_y,downstream_fail_dispersion_x,downstream_fail_dispersion_y,x2y1_fraction,x3y1_fraction,fail_feature_fallback
0,244.0,112.0,X2Y2,241.0,85.0,-0.119,kernel_vector,64,2,0,2,306.5,156.5,285.0,147.0,5.0,1.0,0.0,1.0,False
1,246.0,107.0,X2Y2,244.0,114.0,-0.122,kernel_stage,64,4,4,0,292.0,164.0,275.0,148.5,2.0,4.0,1.0,0.0,False
2,244.0,110.0,X2Y2,244.0,114.0,-0.082,kernel_stage,64,12,2,10,306.0,143.0,267.5,150.5,52.0,34.0,0.16666666666666666,0.8333333333333334,False
3,246.0,108.0,X2Y2,222.0,92.0,-0.048,kernel_vector,64,5,3,2,270.0,164.0,270.0,149.0,104.0,20.0,0.6,0.4,False
4,251.0,109.0,X2Y2,244.0,114.0,-0.086,kernel_stage,64,0,0,0,266.0,149.5,266.0,149.5,129.0,37.0,0.0,0.0,True
5,244.0,109.0,X2Y2,243.0,118.0,-0.109,kernel_control,64,1,1,0,264.0,167.0,277.5,151.0,0.0,0.0,1.0,0.0,False
6,251.0,114.0,X2Y2,241.0,85.0,-0.045,kernel_vector,64,0,0,0,268.5,149.5,268.5,149.5,129.0,50.0,0.0,0.0,True
7,251.0,110.0,X2Y2,244.0,114.0,-0.102,kernel_stage,64,1,1,0,291.0,164.0,270.0,149.5,0.0,0.0,1.0,0.0,False
8,246.0,108.0,X2Y2,244.0,114.0,0.011,kernel_stage,64,11,5,6,304.0,168.0,265.5,147.0,36.0,24.0,0.45454545454545453,0.5454545454545454,False
9,244.0,113.0,X2Y2,243.0,118.0,-0.112,kernel_control,64,2,1,1,301.5,152.5,265.5,148.0,9.0,37.0,0.5,0.5,False
10,251.0,107.0,X2Y2,244.0,114.0,-0.079,kernel_stage,64,1,0,1,309.0,156.0,270.0,148.0,0.0,0.0,0.0,1.0,False
11,251.0,104.0,X2Y2,244.0,114.0,-0.123,kernel_stage,64,2,2,0,258.0,149.0,267.0,148.0,84.0,2.0,1.0,0.0,False
12,244.0,105.0,X2Y2,222.0,92.0,-0.096,kernel_vector,64,0,0,0,267.5,147.5,267.5,147.5,122.0,39.0,0.0,0.0,True
13,246.0,103.0,X2Y2,243.0,85.0,-0.066,kernel_vector,64,2,0,2,314.0,140.0,270.5,148.5,16.0,12.0,0.0,1.0,False
14,244.0,107.0,X2Y2,243.0,80.0,-0.091,kernel_vector,64,3,3,0,251.0,166.0,266.0,147.0,46.0,2.0,1.0,0.0,False
15,251.0,103.0,X2Y2,222.0,92.0,-0.068,kernel_vector,64,15,3,12,304.0,163.0,267.0,148.5,27.0,27.0,0.2,0.8,False
16,246.0,106.0,X2Y2,241.0,85.0,-0.093,kernel_vector,64,4,4,0,287.0,167.0,285.5,147.5,5.0,18.0,1.0,0.0,False
17,251.0,103.0,X2Y2,222.0,92.0,-0.112,kernel_vector,64,1,1,0,241.0,145.0,266.0,150.0,0.0,0.0,1.0,0.0,False
18,243.0,109.0,X2Y2,241.0,85.0,-0.031,kernel_vector,64,0,0,0,287.0,147.5,287.0,147.5,134.0,37.0,0.0,0.0,True
19,255.0,106.0,X2Y2,241.0,85.0,-0.095,kernel_vector,64,1,1,0,291.0,153.0,279.0,150.0,0.0,0.0,1.0,0.0,False
20,234.0,100.0,X2Y2,244.0,111.0,-0.077,kernel_control,64,0,0,0,277.5,153.0,277.5,153.0,138.0,40.0,0.0,0.0,True
21,244.0,112.0,X2Y2,241.0,85.0,-0.096,kernel_vector,64,0,0,0,266.0,150.0,266.0,150.0,122.0,47.0,0.0,0.0,True
22,244.0,109.0,X2Y2,241.0,85.0,-0.088,kernel_vector,64,0,0,0,286.0,151.0,286.0,151.0,129.0,38.0,0.0,0.0,True
23,251.0,111.0,X2Y2,244.0,114.0,-0.064,kernel_stage,64,0,0,0,281.0,150.5,281.0,150.5,131.0,38.0,0.0,0.0,True
24,255.0,109.0,X2Y2,244.0,114.0,-0.114,kernel_stage,64,2,0,2,306.0,162.0,279.0,149.0,0.0,0.0,0.0,1.0,False
25,251.0,106.0,X2Y2,222.0,92.0,-0.092,kernel_vector,64,3,3,0,300.0,160.0,278.0,149.5,30.0,1.0,1.0,0.0,False
26,251.0,103.0,X2Y2,244.0,114.0,-0.032,kernel_stage,64,3,1,2,313.0,157.0,270.0,147.0,13.0,3.0,0.3333333333333333,0.6666666666666666,False
27,251.0,104.0,X2Y2,244.0,114.0,0.049,kernel_stage,64,1,0,1,318.0,149.0,279.0,150.0,0.0,0.0,0.0,1.0,False
28,246.0,105.0,X2Y2,222.0,92.0,-0.099,kernel_vector,64,5,5,0,285.0,169.0,271.5,149.0,3.0,17.0,1.0,0.0,False
29,255.0,104.0,X2Y2,222.0,92.0,-0.07,kernel_vector,64,2,1,1,306.5,163.5,282.0,148.0,13.0,11.0,0.5,0.5,False
30,246.0,95.0,X2Y2,243.0,85.0,-0.122,kernel_vector,64,1,0,1,324.0,137.0,262.5,148.5,0.0,0.0,0.0,1.0,False
31,244.0,108.0,X2Y2,243.0,80.0,-0.121,kernel_vector,64,0,0,0,270.0,147.5,270.0,147.5,122.0,41.0,0.0,0.0,True
32,243.0,107.0,X2Y2,222.0,92.0,-0.089,kernel_vector,64,4,2,2,295.0,150.0,264.5,150.0,36.0,24.0,0.5,0.5,False
33,246.0,105.0,X2Y2,243.0,80.0,0.038,kernel_vector,64,3,0,3,306.0,131.0,265.5,149.5,11.0,9.0,0.0,1.0,False
34,244.0,110.0,X2Y2,243.0,85.0,-0.046,kernel_vector,64,4,1,3,309.5,160.5,282.0,150.5,62.0,16.0,0.25,0.75,False
35,251.0,105.0,X2Y2,244.0,114.0,-0.117,kernel_stage,64,0,0,0,285.5,149.0,285.5,149.0,129.0,41.0,0.0,0.0,True
36,244.0,103.0,X2Y2,241.0,85.0,-0.099,kernel_vector,64,0,0,0,275.5,153.0,275.5,153.0,131.0,34.0,0.0,0.0,True
37,251.0,102.0,X2Y2,243.0,80.0,-0.098,kernel_vector,64,0,0,0,271.5,149.5,271.5,149.5,120.0,41.0,0.0,0.0,True
38,244.0,111.0,X2Y2,241.0,85.0,-0.11,kernel_vector,64,0,0,0,268.5,153.5,268.5,153.5,133.0,42.0,0.0,0.0,True
39,251.0,108.0,X2Y2,243.0,80.0,-0.059,kernel_vector,64,2,0,2,308.5,144.5,267.5,150.0,9.0,11.0,0.0,1.0,False
40,246.0,110.0,X2Y2,243.0,80.0,-0.043,kernel_vector,64,2,1,1,303.0,143.5,275.0,150.0,20.0,15.0,0.5,0.5,False
41,251.0,105.0,X2Y2,243.0,80.0,-0.111,kernel_vector,64,10,2,8,313.0,156.5,277.5,148.5,29.0,28.0,0.2,0.8,False
42,255.0,104.0,X2Y2,243.0,80.0,-0.119,kernel_vector,64,6,6,0,267.0,166.0,267.0,151.0,23.0,16.0,1.0,0.0,False
43,246.0,107.0,X2Y2,244.0,114.0,-0.028,kernel_stage,64,3,2,1,300.0,157.0,266.0,150.0,58.0,24.0,0.6666666666666666,0.3333333333333333,False
44,244.0,107.0,X2Y2,222.0,92.0,-0.071,kernel_vector,64,1,1,0,300.0,151.0,261.5,147.5,0.0,0.0,1.0,0.0,False
45,251.0,102.0,X2Y2,207.0,77.0,-0.136,lfnst_grid,64,1,1,0,262.0,171.0,265.5,148.5,0.0,0.0,1.0,0.0,False
46,243.0,106.0,X2Y2,243.0,80.0,-0.018,kernel_vector,64,15,7,8,304.0,160.0,270.0,149.0,67.0,29.0,0.4666666666666667,0.5333333333333333,False
47,251.0,103.0,X2Y2,222.0,92.0,-0.066,kernel_vector,64,6,4,2,298.5,158.5,264.5,148.0,23.0,25.0,0.6666666666666666,0.3333333333333333,False
48,246.0,107.0,X2Y2,243.0,85.0,-0.05,kernel_vector,60,4,4,0,243.5,174.0,276.0,151.0,1.0,0.0,1.0,0.0,False
49,243.0,106.0,X2Y2,222.0,92.0,-0.078,kernel_vector,60,19,8,11,315.0,154.0,283.0,150.5,63.0,36.0,0.42105263157894735,0.5789473684210527,False
50,243.0,112.0,X2Y2,241.0,85.0,-0.113,kernel_vector,60,1,0,1,327.0,150.0,284.0,152.0,0.0,0.0,0.0,1.0,False
51,251.0,106.0,X2Y2,222.0,92.0,0.066,kernel_vector,60,12,2,10,315.0,146.0,262.0,148.0,38.0,31.0,0.16666666666666666,0.8333333333333334,False
52,251.0,110.0,X2Y2,222.0,92.0,-0.047,kernel_vector,60,0,0,0,256.5,146.0,256.5,146.0,125.0,47.0,0.0,0.0,True
53,246.0,95.0,X2Y2,244.0,111.0,-0.089,kernel_control,60,0,0,0,286.0,148.0,286.0,148.0,131.0,50.0,0.0,0.0,True
54,244.0,105.0,X2Y2,241.0,85.0,-0.068,kernel_vector,60,4,1,0,198.0,138.5,255.0,150.0,93.0,38.0,1.0,0.0,False
55,251.0,109.0,X2Y2,243.0,118.0,0.044,kernel_control,60,0,0,0,286.0,149.0,286.0,149.0,126.0,50.0,0.0,0.0,True
56,255.0,109.0,X2Y2,241.0,85.0,-0.132,kernel_vector,60,5,5,0,291.0,165.0,288.0,150.0,5.0,26.0,1.0,0.0,False
57,251.0,111.0,X2Y2,222.0,92.0,-0.058,kernel_vector,60,3,2,1,297.0,167.0,283.0,148.0,51.0,24.0,0.6666666666666666,0.3333333333333333,False
58,251.0,108.0,X2Y2,234.0,92.0,-0.052,kernel_vector,60,0,0,0,258.0,150.0,258.0,150.0,131.0,49.0,0.0,0.0,True
59,251.0,110.0,X2Y2,231.0,98.0,-0.091,kernel_vector,60,1,1,0,244.0,172.0,251.0,147.0,0.0,0.0,1.0,0.0,False
60,251.0,111.0,X2Y2,222.0,92.0,0.033,kernel_vector,60,8,0,8,313.0,148.5,289.5,148.5,12.0,37.0,0.0,1.0,False
61,244.0,112.0,X2Y2,222.0,92.0,-0.054,kernel_vector,60,2,0,2,315.0,159.5,256.5,149.5,18.0,25.0,0.0,1.0,False
62,251.0,108.0,X2Y2,243.0,80.0,-0.017,kernel_vector,60,1,1,0,291.0,154.0,248.5,148.5,0.0,0.0,1.0,0.0,False
63,246.0,110.0,X2Y2,243.0,80.0,-0.083,kernel_vector,60,0,0,0,277.5,149.0,277.5,149.0,123.0,42.0,0.0,0.0,True

