coarse_primitive_signature,endpoint_count,tns_ns
FDCE->FDCE|logic_levels=5,97,-1.587
FDCE->FDCE|logic_levels=6,69,-1.232
FDCE->FDCE|logic_levels=7,22,-0.46
FDCE->FDCE|logic_levels=4,28,-0.357
FDCE->FDRE|logic_levels=5,17,-0.31
FDCE->FDCE|logic_levels=3,17,-0.277
FDCE->FDRE|logic_levels=2,15,-0.184
FDCE->FDCE|logic_levels=2,7,-0.131
FDRE->FDRE|logic_levels=0,19,-0.131
FDCE->FDRE|logic_levels=6,4,-0.085
FDCE->FDRE|logic_levels=3,4,-0.052
FDCE->RAMD64E|logic_levels=2,4,-0.028
FDCE->FDRE|logic_levels=7,1,-0.02
FDRE->FDRE|logic_levels=6,2,-0.017
FDCE->FDRE|logic_levels=4,3,-0.013
FDCE->FDRE|logic_levels=1,1,-0.006
FDRE->FDRE|logic_levels=5,2,-0.003
