endpoint,startpoint,slack,classification_bucket,source_family,endpoint_family,logic_levels,logic_delay_ns,routing_delay_ns,datapath_delay_ns,routing_fraction,start_loc,end_loc,start_ref,end_ref,coarse_primitive_signature
sink_it_data_out_q_reg[0]/D,u_dut/output_index_reg[1]_replica_5/C,-0.004000000,DUT_TO_SINK_BOUNDARY,u_dut/output_index_reg_replica_5,harness/sink_boundary,5,0.504000000,1.378000000,1.882000000,0.732199787,SLICE_X59Y126,SLICE_X63Y132,FDCE,FDCE,FDCE->FDCE|logic_levels=5
sink_it_data_out_q_reg[10]/D,u_dut/output_index_reg[0]_replica_1/C,-0.008000000,DUT_TO_SINK_BOUNDARY,u_dut/output_index_reg_replica_1,harness/sink_boundary,5,0.383000000,1.522000000,1.905000000,0.798950131,SLICE_X68Y114,SLICE_X59Y132,FDCE,FDCE,FDCE->FDCE|logic_levels=5
sink_it_data_out_q_reg[16]/D,u_dut/output_index_reg[0]_replica/C,-0.011000000,DUT_TO_SINK_BOUNDARY,u_dut/output_index_reg_replica,harness/sink_boundary,5,0.463000000,1.442000000,1.905000000,0.756955381,SLICE_X59Y132,SLICE_X64Y120,FDCE,FDCE,FDCE->FDCE|logic_levels=5
sink_it_data_out_q_reg[18]/D,u_dut/output_index_reg[4]_replica_3/C,-0.010000000,DUT_TO_SINK_BOUNDARY,u_dut/output_index_reg_replica_3,harness/sink_boundary,5,0.452000000,1.468000000,1.920000000,0.764583333,SLICE_X60Y116,SLICE_X64Y120,FDCE,FDCE,FDCE->FDCE|logic_levels=5
sink_it_data_out_q_reg[24]/D,u_dut/output_index_reg[5]_replica/C,-0.003000000,DUT_TO_SINK_BOUNDARY,u_dut/output_index_reg_replica,harness/sink_boundary,5,0.324000000,1.584000000,1.908000000,0.830188679,SLICE_X59Y94,SLICE_X56Y123,FDCE,FDCE,FDCE->FDCE|logic_levels=5
sink_it_data_out_q_reg[38]/D,u_dut/output_index_reg[6]/C,-0.002000000,DUT_TO_SINK_BOUNDARY,u_dut/output_index_reg,harness/sink_boundary,4,0.346000000,1.445000000,1.791000000,0.806811837,SLICE_X59Y97,SLICE_X67Y132,FDCE,FDCE,FDCE->FDCE|logic_levels=4
sink_it_data_out_q_reg[6]/D,u_dut/output_index_reg[0]_replica_5/C,-0.018000000,DUT_TO_SINK_BOUNDARY,u_dut/output_index_reg_replica_5,harness/sink_boundary,5,0.532000000,1.421000000,1.953000000,0.727598566,SLICE_X59Y107,SLICE_X54Y128,FDCE,FDCE,FDCE->FDCE|logic_levels=5
u_dut/desc_count_reg[0]/CE,src_it_info_q_reg[3]/C,-0.001000000,SOURCE_BOUNDARY_TO_DUT,harness/source_boundary,u_dut/desc_count_reg,5,0.615000000,1.216000000,1.831000000,0.664117968,SLICE_X48Y87,SLICE_X53Y82,FDCE,FDCE,FDCE->FDCE|logic_levels=5
u_dut/desc_count_reg[1]/CE,src_it_info_q_reg[3]/C,-0.001000000,SOURCE_BOUNDARY_TO_DUT,harness/source_boundary,u_dut/desc_count_reg,5,0.615000000,1.216000000,1.831000000,0.664117968,SLICE_X48Y87,SLICE_X53Y82,FDCE,FDCE,FDCE->FDCE|logic_levels=5
u_dut/gen_result_slots[1].gen_result_banks[1].u_result_bank/mem_reg_64_127_7_9/RAMA/WE,u_dut/result_cmd_slot_q_reg/C,-0.007000000,DUT_INTERNAL,u_dut/result_cmd_slot_q_reg,u_dut/result_bank,2,0.255000000,1.321000000,1.576000000,0.838197970,SLICE_X58Y136,SLICE_X75Y116,FDCE,RAMD64E,FDCE->RAMD64E|logic_levels=2
