bucket,canonical_source_family,canonical_endpoint_family,r5f_endpoint_count,r5f_tns_ns,r6a_endpoint_count,r6a_tns_ns,tns_delta_r6_minus_r5_ns,status
DUT_INTERNAL,u_dut/desc_count_reg,u_dut/slot_state_reg,2,-0.081,0,0.0,0.081,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/desc_rd_ptr_reg,u_dut/slot_last_input_addr_reg,2,-0.034,0,0.0,0.034,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/fill_wr_cmd_addr_q_reg,u_dut/input_cache_bank,144,-4.764,0,0.0,4.764,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/fill_wr_cmd_data_q_reg,u_dut/input_cache_bank,39,-1.002,0,0.0,1.002,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/fill_wr_cmd_target_q_reg,u_dut/input_cache_bank,40,-0.904,0,0.0,0.904,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_cut_h_q_reg,u_dut/kernel_rd_resp_data_q_reg,0,0.0,1,-0.005,-0.005,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_cut_h_q_reg,u_dut/u_unified_p4_kernel/ingress_data_q_reg,2,-0.166,1,-0.041,0.125,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/kernel_feed_group_q_reg,u_dut/u_unified_p4_kernel/ingress_data_q_reg,0,0.0,4,-0.056,-0.056,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_h_rd_addr_q_reg,u_dut/kernel_h_rd_data_q_reg,35,-1.925,1,-0.003,1.922,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/kernel_h_rd_raw_group_q_reg,u_dut/u_unified_p4_kernel/ingress_data_q_reg,2,-0.221,1,-0.02,0.201,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/kernel_h_rd_raw_tail_pending_q_reg,u_dut/kernel_h_rd_addr_q_reg,1,-0.038,0,0.0,0.038,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_phase_q_reg,u_dut/kernel_ctx_output_size_q_reg,2,-0.15,0,0.0,0.15,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_run_q_reg,u_dut/kernel_ctx_active_size_q_reg,1,-0.029,0,0.0,0.029,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_run_q_reg,u_dut/kernel_ctx_output_size_q_reg,2,-0.064,0,0.0,0.064,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_run_q_reg,u_dut/kernel_cut_h_q_reg,2,-0.004,0,0.0,0.004,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_run_q_reg,u_dut/kernel_rd_raw_data_q_reg,1,-0.011,0,0.0,0.011,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/kernel_run_q_reg,u_dut/lfnst_grid_reg,93,-3.72,12,-0.112,3.608,MATERIAL_REDUCTION
