"bucket","source_family","endpoint_family","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"DUT_INTERNAL","u_dut/kernel_cut_h_q_reg","u_dut/kernel_rd_resp_data_q_reg","1","-0.009000000","0.001508801","0.009000000","0.009000000","0.009000000","0.009000000"
"DUT_INTERNAL","u_dut/kernel_cut_w_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","4","-0.149000000","0.024979044","0.052000000","0.033000000","0.052000000","0.052000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_addr_q_reg","u_dut/kernel_h_rd_data_q_reg","5","-0.094000000","0.015758592","0.036000000","0.010000000","0.036000000","0.036000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_raw_group_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","1","-0.016000000","0.002682313","0.016000000","0.016000000","0.016000000","0.016000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/vwrite_cmd_data_q_reg","1","-0.003000000","0.000502934","0.003000000","0.003000000","0.003000000","0.003000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/vwrite_cmd_last_q_reg","1","-0.008000000","0.001341157","0.008000000","0.008000000","0.008000000","0.008000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__0","u_dut/u_unified_p4_kernel/ingress_data_q_reg","6","-0.214000000","0.035875943","0.052000000","0.038000000","0.052000000","0.052000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__1","u_dut/u_unified_p4_kernel/ingress_data_q_reg","4","-0.067000000","0.011232188","0.041000000","0.009000000","0.041000000","0.041000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__2_replica","u_dut/u_unified_p4_kernel/ingress_data_q_reg","3","-0.048000000","0.008046940","0.032000000","0.014000000","0.032000000","0.032000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__2","u_dut/kernel_vector_q_reg","1","-0.015000000","0.002514669","0.015000000","0.015000000","0.015000000","0.015000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_rep__2","u_dut/u_unified_p4_kernel/ingress_data_q_reg","5","-0.144000000","0.024140821","0.053000000","0.026000000","0.053000000","0.053000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_replica_2","u_dut/u_unified_p4_kernel/ingress_data_q_reg","1","-0.021000000","0.003520536","0.021000000","0.021000000","0.021000000","0.021000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg_replica","u_dut/u_unified_p4_kernel/ingress_data_q_reg","1","-0.001000000","0.000167645","0.001000000","0.001000000","0.001000000","0.001000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","6","-0.164000000","0.027493713","0.049000000","0.018000000","0.049000000","0.049000000"
"DUT_INTERNAL","u_dut/lfnst_grid_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","4","-0.095000000","0.015926236","0.036000000","0.022000000","0.036000000","0.036000000"
"DUT_INTERNAL","u_dut/lfnst_grid_valid_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","7","-0.193000000","0.032355407","0.055000000","0.031000000","0.055000000","0.055000000"
"DUT_INTERNAL","u_dut/lfnst_mem_resp_pending_q_reg","u_dut/lfnst_grid_reg","1","-0.012000000","0.002011735","0.012000000","0.012000000","0.012000000","0.012000000"
"DUT_INTERNAL","u_dut/lfnst_mem_resp_pending_q_reg","u_dut/lfnst_grid_valid_reg","1","-0.013000000","0.002179380","0.013000000","0.013000000","0.013000000","0.013000000"
"DUT_INTERNAL","u_dut/lfnst_ntrs48_q_reg_rep__1","u_dut/lfnst_grid_reg","9","-0.154000000","0.025817267","0.023000000","0.017000000","0.023000000","0.023000000"
"DUT_INTERNAL","u_dut/lfnst_ntrs48_q_reg_rep__1","u_dut/lfnst_grid_valid_reg","1","-0.034000000","0.005699916","0.034000000","0.034000000","0.034000000","0.034000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_1","u_dut/kernel_rd_raw_data_q_reg","3","-0.052000000","0.008717519","0.037000000","0.010000000","0.037000000","0.037000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_1","u_dut/lfnst_mem_resp_data_q_reg","3","-0.088000000","0.014752724","0.039000000","0.035000000","0.039000000","0.039000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_2","u_dut/kernel_rd_raw_data_q_reg","1","-0.008000000","0.001341157","0.008000000","0.008000000","0.008000000","0.008000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_3","u_dut/kernel_rd_raw_data_q_reg","1","-0.019000000","0.003185247","0.019000000","0.019000000","0.019000000","0.019000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_5","u_dut/kernel_rd_raw_data_q_reg","3","-0.059000000","0.009891031","0.043000000","0.014000000","0.043000000","0.043000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica","u_dut/kernel_rd_raw_data_q_reg","4","-0.073000000","0.012238055","0.040000000","0.005000000","0.040000000","0.040000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica","u_dut/lfnst_mem_resp_data_q_reg","1","-0.026000000","0.004358759","0.026000000","0.026000000","0.026000000","0.026000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/kernel_rd_raw_data_q_reg","15","-0.365000000","0.061190277","0.047000000","0.022000000","0.044000000","0.047000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/lfnst_mem_resp_data_q_reg","6","-0.238000000","0.039899413","0.055000000","0.031000000","0.055000000","0.055000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/lfnst_mem_resp_valid_q_reg","1","-0.004000000","0.000670578","0.004000000","0.004000000","0.004000000","0.004000000"
