"bucket","source_family","endpoint_family","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"DUT_INTERNAL","u_dut/desc_mem_reg","u_dut/slot_last_input_addr_reg","2","-0.022000000","0.000052845","0.019000000","0.003000000","0.019000000","0.019000000"
"DUT_INTERNAL","u_dut/desc_rd_ptr_reg","u_dut/slot_last_input_addr_reg","1","-0.044000000","0.000105689","0.044000000","0.044000000","0.044000000","0.044000000"
"DUT_INTERNAL","u_dut/fill_active_reg","u_dut/fill_wr_bank_addr_q_reg","7","-0.320000000","0.000768649","0.109000000","0.030000000","0.109000000","0.109000000"
"DUT_INTERNAL","u_dut/fill_slot_reg","u_dut/fill_wr_bank_addr_q_reg","2","-0.055000000","0.000132112","0.035000000","0.020000000","0.035000000","0.035000000"
"DUT_INTERNAL","u_dut/fill_wr_bank_addr_q_reg","u_dut/input_cache_bank","76","-3.148000000","0.007561582","0.087000000","0.040000000","0.087000000","0.087000000"
"DUT_INTERNAL","u_dut/fill_wr_bank_data_q_reg","u_dut/input_cache_bank","1","-0.005000000","0.000012010","0.005000000","0.005000000","0.005000000","0.005000000"
"DUT_INTERNAL","u_dut/kernel_ctx_transform_size_q_reg","u_dut/u_unified_p4_kernel/slot_bundle_base_q_reg","7","-0.567000000","0.001361949","0.158000000","0.074000000","0.158000000","0.158000000"
"DUT_INTERNAL","u_dut/kernel_cut_h_q_reg","u_dut/kernel_rd_resp_data_q_reg","52","-4.950000000","0.011890035","0.174000000","0.100000000","0.155000000","0.174000000"
"DUT_INTERNAL","u_dut/kernel_cut_h_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","15","-2.093000000","0.005027443","0.182000000","0.153000000","0.166000000","0.182000000"
"DUT_INTERNAL","u_dut/kernel_cut_h_q_reg","u_dut/vwrite_cmd_bank_mask_q_reg","1","-0.036000000","0.000086473","0.036000000","0.036000000","0.036000000","0.036000000"
"DUT_INTERNAL","u_dut/kernel_cut_h_q_reg","u_dut/vwrite_cmd_data_q_reg","13","-1.245000000","0.002990524","0.147000000","0.101000000","0.141000000","0.147000000"
"DUT_INTERNAL","u_dut/kernel_cut_w_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","1","-0.161000000","0.000386726","0.161000000","0.161000000","0.161000000","0.161000000"
"DUT_INTERNAL","u_dut/kernel_h_groups_left_q_reg","u_dut/kernel_h_rd_addr_q_reg","4","-0.343000000","0.000823895","0.092000000","0.090000000","0.092000000","0.092000000"
"DUT_INTERNAL","u_dut/kernel_h_groups_left_q_reg","u_dut/kernel_h_rd_addr_q_reg_replica","1","-0.146000000","0.000350696","0.146000000","0.146000000","0.146000000","0.146000000"
"DUT_INTERNAL","u_dut/kernel_h_groups_left_q_reg","u_dut/kernel_h_rd_addr_q_reg_replica_2","1","-0.001000000","0.000002402","0.001000000","0.001000000","0.001000000","0.001000000"
"DUT_INTERNAL","u_dut/kernel_h_groups_left_q_reg","u_dut/kernel_h_rd_addr_q_reg_replica_3","1","-0.043000000","0.000103287","0.043000000","0.043000000","0.043000000","0.043000000"
"DUT_INTERNAL","u_dut/kernel_h_input_commit_wait_q_reg","u_dut/kernel_h_rd_group_q_reg","1","-0.024000000","0.000057649","0.024000000","0.024000000","0.024000000","0.024000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_addr_q_reg","u_dut/kernel_h_rd_data_q_reg","56","-5.737000000","0.013780431","0.185000000","0.111000000","0.169000000","0.185000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_data_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","2","-0.287000000","0.000689382","0.151000000","0.136000000","0.151000000","0.151000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_raw_tail_pending_q_reg","u_dut/kernel_h_rd_data_q_reg","1","-0.089000000","0.000213780","0.089000000","0.089000000","0.089000000","0.089000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_count_q_reg","6","-0.084000000","0.000201770","0.016000000","0.013000000","0.016000000","0.016000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep","2","-0.287000000","0.000689382","0.167000000","0.120000000","0.167000000","0.167000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__1","1","-0.149000000","0.000357902","0.149000000","0.149000000","0.149000000","0.149000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__1_replica","1","-0.131000000","0.000314666","0.131000000","0.131000000","0.131000000","0.131000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__1_replica_1","1","-0.089000000","0.000213780","0.089000000","0.089000000","0.089000000","0.089000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__1_replica_2","1","-0.147000000","0.000353098","0.147000000","0.147000000","0.147000000","0.147000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__1_replica_6","1","-0.018000000","0.000043236","0.018000000","0.018000000","0.018000000","0.018000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__4","1","-0.005000000","0.000012010","0.005000000","0.005000000","0.005000000","0.005000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__4_replica","1","-0.129000000","0.000309862","0.129000000","0.129000000","0.129000000","0.129000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__4_replica_3","1","-0.027000000","0.000064855","0.027000000","0.027000000","0.027000000","0.027000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__4_replica_6","1","-0.156000000","0.000374716","0.156000000","0.156000000","0.156000000","0.156000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__5_replica","1","-0.109000000","0.000261821","0.109000000","0.109000000","0.109000000","0.109000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__5_replica_2","1","-0.051000000","0.000122503","0.051000000","0.051000000","0.051000000","0.051000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__5_replica_3","1","-0.151000000","0.000362706","0.151000000","0.151000000","0.151000000","0.151000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__6","2","-0.345000000","0.000828699","0.185000000","0.160000000","0.185000000","0.185000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep_replica","2","-0.191000000","0.000458787","0.147000000","0.044000000","0.147000000","0.147000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep_replica_1","2","-0.160000000","0.000384324","0.083000000","0.077000000","0.083000000","0.083000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep_replica_6","1","-0.174000000","0.000417953","0.174000000","0.174000000","0.174000000","0.174000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep_replica_7","2","-0.075000000","0.000180152","0.057000000","0.018000000","0.057000000","0.057000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep_replica_8","1","-0.062000000","0.000148926","0.062000000","0.062000000","0.062000000","0.062000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg_replica_1","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep_replica_9","1","-0.029000000","0.000069659","0.029000000","0.029000000","0.029000000","0.029000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__1","1","-0.103000000","0.000247409","0.103000000","0.103000000","0.103000000","0.103000000"
