"endpoint","startpoint","slack","path_group","launch_clock","capture_clock","start_cell","start_ref","start_hierarchy","end_cell","end_ref","end_hierarchy","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","routing_fraction","start_loc","end_loc","start_clock_region","end_clock_region","raw_structural_signature","normalized_structural_signature","classification_bucket","source_family","endpoint_family","violation_magnitude_ns"
"sink_it_data_out_q_reg[11]/D","u_dut/output_index_reg[0]_replica_6/C","-0.116000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_6","FDCE","u_dut/output_index_reg_replica_6","sink_it_data_out_q_reg[11]","FDCE","sink_it_data_out_q_reg","5","0.475000000","1.518000000","1.993000000","0.761665830","SLICE_X81Y79","SLICE_X88Y91","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_6","harness/sink_boundary","0.116000000"
"sink_it_data_out_q_reg[13]/D","u_dut/output_index_reg[0]_replica_3/C","-0.057000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_3","FDCE","u_dut/output_index_reg_replica_3","sink_it_data_out_q_reg[13]","FDCE","sink_it_data_out_q_reg","5","0.499000000","1.450000000","1.949000000","0.743971267","SLICE_X88Y73","SLICE_X87Y91","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_3","harness/sink_boundary","0.057000000"
"sink_it_data_out_q_reg[15]/D","u_dut/output_index_reg[3]_replica_7/C","-0.015000000","clk","clk","clk","u_dut/output_index_reg[3]_replica_7","FDCE","u_dut/output_index_reg_replica_7","sink_it_data_out_q_reg[15]","FDCE","sink_it_data_out_q_reg","5","0.539000000","1.355000000","1.894000000","0.715417107","SLICE_X81Y79","SLICE_X88Y89","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_7","harness/sink_boundary","0.015000000"
"sink_it_data_out_q_reg[16]/D","u_dut/output_index_reg[0]_replica_8/C","-0.006000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_8","FDCE","u_dut/output_index_reg_replica_8","sink_it_data_out_q_reg[16]","FDCE","sink_it_data_out_q_reg","5","0.508000000","1.390000000","1.898000000","0.732349842","SLICE_X82Y87","SLICE_X87Y89","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_8","harness/sink_boundary","0.006000000"
"sink_it_data_out_q_reg[18]/D","u_dut/output_index_reg[0]_replica_8/C","-0.043000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_8","FDCE","u_dut/output_index_reg_replica_8","sink_it_data_out_q_reg[18]","FDCE","sink_it_data_out_q_reg","5","0.399000000","1.536000000","1.935000000","0.793798450","SLICE_X82Y87","SLICE_X87Y89","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_8","harness/sink_boundary","0.043000000"
"sink_it_data_out_q_reg[19]/D","u_dut/output_index_reg[0]_replica_8/C","-0.002000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_8","FDCE","u_dut/output_index_reg_replica_8","sink_it_data_out_q_reg[19]","FDCE","sink_it_data_out_q_reg","5","0.434000000","1.455000000","1.889000000","0.770248809","SLICE_X82Y87","SLICE_X87Y94","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_8","harness/sink_boundary","0.002000000"
"sink_it_data_out_q_reg[1]/D","u_dut/output_index_reg[0]_replica_8/C","-0.070000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_8","FDCE","u_dut/output_index_reg_replica_8","sink_it_data_out_q_reg[1]","FDCE","sink_it_data_out_q_reg","5","0.495000000","1.473000000","1.968000000","0.748475610","SLICE_X82Y87","SLICE_X85Y83","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_8","harness/sink_boundary","0.070000000"
"sink_it_data_out_q_reg[20]/D","u_dut/output_index_reg[3]_replica_7/C","-0.024000000","clk","clk","clk","u_dut/output_index_reg[3]_replica_7","FDCE","u_dut/output_index_reg_replica_7","sink_it_data_out_q_reg[20]","FDCE","sink_it_data_out_q_reg","5","0.373000000","1.553000000","1.926000000","0.806334372","SLICE_X81Y79","SLICE_X87Y72","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_7","harness/sink_boundary","0.024000000"
"sink_it_data_out_q_reg[21]/D","u_dut/output_index_reg[2]_replica_5/C","-0.071000000","clk","clk","clk","u_dut/output_index_reg[2]_replica_5","FDCE","u_dut/output_index_reg_replica_5","sink_it_data_out_q_reg[21]","FDCE","sink_it_data_out_q_reg","5","0.396000000","1.591000000","1.987000000","0.800704580","SLICE_X80Y82","SLICE_X87Y71","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_5","harness/sink_boundary","0.071000000"
"sink_it_data_out_q_reg[22]/D","u_dut/output_index_reg[2]_replica_5/C","-0.053000000","clk","clk","clk","u_dut/output_index_reg[2]_replica_5","FDCE","u_dut/output_index_reg_replica_5","sink_it_data_out_q_reg[22]","FDCE","sink_it_data_out_q_reg","5","0.512000000","1.468000000","1.980000000","0.741414141","SLICE_X80Y82","SLICE_X89Y69","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_5","harness/sink_boundary","0.053000000"
"sink_it_data_out_q_reg[25]/D","u_dut/output_index_reg[0]_replica_6/C","-0.033000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_6","FDCE","u_dut/output_index_reg_replica_6","sink_it_data_out_q_reg[25]","FDCE","sink_it_data_out_q_reg","5","0.461000000","1.474000000","1.935000000","0.761757106","SLICE_X81Y79","SLICE_X87Y71","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_6","harness/sink_boundary","0.033000000"
"sink_it_data_out_q_reg[27]/D","u_dut/output_index_reg[2]_replica_4/C","-0.075000000","clk","clk","clk","u_dut/output_index_reg[2]_replica_4","FDCE","u_dut/output_index_reg_replica_4","sink_it_data_out_q_reg[27]","FDCE","sink_it_data_out_q_reg","5","0.363000000","1.575000000","1.938000000","0.812693498","SLICE_X82Y79","SLICE_X87Y73","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_4","harness/sink_boundary","0.075000000"
"sink_it_data_out_q_reg[28]/D","u_dut/output_index_reg[0]_replica_2/C","-0.042000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_2","FDCE","u_dut/output_index_reg_replica_2","sink_it_data_out_q_reg[28]","FDCE","sink_it_data_out_q_reg","5","0.453000000","1.476000000","1.929000000","0.765163297","SLICE_X81Y76","SLICE_X87Y72","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_2","harness/sink_boundary","0.042000000"
"sink_it_data_out_q_reg[29]/D","u_dut/output_index_reg[0]_replica_3/C","-0.024000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_3","FDCE","u_dut/output_index_reg_replica_3","sink_it_data_out_q_reg[29]","FDCE","sink_it_data_out_q_reg","5","0.494000000","1.570000000","2.064000000","0.760658915","SLICE_X88Y73","SLICE_X74Y74","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_3","harness/sink_boundary","0.024000000"
"sink_it_data_out_q_reg[30]/D","u_dut/output_index_reg[0]_replica_4/C","-0.034000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_4","FDCE","u_dut/output_index_reg_replica_4","sink_it_data_out_q_reg[30]","FDCE","sink_it_data_out_q_reg","5","0.503000000","1.421000000","1.924000000","0.738565489","SLICE_X81Y86","SLICE_X81Y91","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_4","harness/sink_boundary","0.034000000"
"sink_it_data_out_q_reg[31]/D","u_dut/output_index_reg[1]_replica_1/C","-0.090000000","clk","clk","clk","u_dut/output_index_reg[1]_replica_1","FDCE","u_dut/output_index_reg_replica_1","sink_it_data_out_q_reg[31]","FDCE","sink_it_data_out_q_reg","5","0.559000000","1.424000000","1.983000000","0.718103883","SLICE_X80Y83","SLICE_X80Y91","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","0.090000000"
