"bucket","source_family","endpoint_family","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"DUT_INTERNAL","u_dut/fill_active_reg","u_dut/fill_wr_bank_addr_q_reg","2","-0.048000000","0.001131382","0.024000000","0.024000000","0.024000000","0.024000000"
"DUT_INTERNAL","u_dut/fill_slot_reg","u_dut/fill_wr_bank_addr_q_reg","1","-0.024000000","0.000565691","0.024000000","0.024000000","0.024000000","0.024000000"
"DUT_INTERNAL","u_dut/fill_wr_bank_addr_q_reg","u_dut/input_cache_bank","8","-0.280000000","0.006599727","0.035000000","0.035000000","0.035000000","0.035000000"
"DUT_INTERNAL","u_dut/kernel_cut_h_q_reg","u_dut/kernel_rd_resp_data_q_reg","1","-0.015000000","0.000353557","0.015000000","0.015000000","0.015000000","0.015000000"
"DUT_INTERNAL","u_dut/kernel_cut_h_q_reg","u_dut/vwrite_cmd_data_q_reg","5","-0.217000000","0.005114788","0.090000000","0.024000000","0.090000000","0.090000000"
"DUT_INTERNAL","u_dut/kernel_cut_w_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","1","-0.023000000","0.000542120","0.023000000","0.023000000","0.023000000","0.023000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_addr_q_reg","u_dut/kernel_h_rd_data_q_reg","41","-2.570000000","0.060576062","0.121000000","0.059000000","0.105000000","0.121000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_addr_q_reg","u_dut/kernel_h_rd_data_tail_q_reg","16","-0.676000000","0.015933626","0.119000000","0.030000000","0.095000000","0.119000000"
"DUT_INTERNAL","u_dut/kernel_h_rd_raw_group_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","5","-0.257000000","0.006057606","0.079000000","0.046000000","0.079000000","0.079000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/output_index_reg_replica_2","1","-0.005000000","0.000117852","0.005000000","0.005000000","0.005000000","0.005000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/output_index_reg_replica_3","2","-0.153000000","0.003606279","0.097000000","0.056000000","0.097000000","0.097000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/output_index_reg_replica_4","3","-0.209000000","0.004926224","0.097000000","0.056000000","0.097000000","0.097000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/output_index_reg_replica_5","1","-0.106000000","0.002498468","0.106000000","0.106000000","0.106000000","0.106000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/output_index_reg_replica_8","2","-0.014000000","0.000329986","0.007000000","0.007000000","0.007000000","0.007000000"
"DUT_INTERNAL","u_dut/kernel_phase_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","5","-0.363000000","0.008556074","0.112000000","0.095000000","0.112000000","0.112000000"
"DUT_INTERNAL","u_dut/kernel_run_q_reg","u_dut/kernel_phase_q_reg","1","-0.002000000","0.000047141","0.002000000","0.002000000","0.002000000","0.002000000"
